#time,accel_x,accel_y,accel_z
4936.275856,4293.194464,1036.288319,-79214.274493
4936.278403,2220.617826,3701.029710,-76609.549800
4936.280949,2368.659014,5033.400406,-76609.549800
4936.283496,2664.741391,2368.659014,-79214.274493
4936.286042,1924.535449,-2812.782580,-80899.684589
4936.288589,3552.988522,0.000000,-79367.493593
4936.291135,3256.906145,3849.070898,-77988.521696
4936.293682,2368.659014,3997.112087,-76915.987999
4936.296228,2072.576638,2812.782580,-77835.302597
4936.298775,1628.453072,888.247130,-79061.055394
4936.301321,3849.070898,0.000000,-80593.246390
4936.303868,4737.318029,-1184.329507,-79061.055394
4936.306414,2072.576638,2664.741391,-77682.083497
4936.308961,2516.700203,-148.041188,-76762.768900
4936.311508,40267.203245,10658.965565,-76456.330700
4936.314054,1036.288319,-7846.182985,-74311.263306
4936.316601,-61733.175563,-10066.800811,-87947.763170
4936.319147,55219.363273,14359.995275,-81359.341888
4936.321694,-10955.047942,-9770.718434,-73545.167808
4936.324240,-32124.937883,14656.077652,-79214.274493
4936.326787,48853.592172,-5625.565159,-75230.577904
4936.329333,-29312.155303,-16580.613101,-82891.532884
4936.331880,-14063.912898,23538.548956,-84576.942979
4936.334426,36566.173535,-7550.100608,-76609.549800
4936.336973,-32569.061448,11843.295072,-76303.111601
4936.339519,11103.089130,29164.114115,-81052.903688
4936.342066,34345.555709,0.000000,-76609.549800
4936.344612,9474.636058,2220.617826,-76609.549800
4936.347159,-8142.265362,-27535.661042,-82891.532884
4936.349706,17764.942608,13027.624579,-76762.768900
4936.352252,10510.924376,3997.112087,-72472.634111
4936.354799,-22946.384202,-13323.706956,-85036.600278
4936.357195,3849.070898,24426.796086,-78141.740796
4936.359592,15100.201217,18801.230927,-75383.797003
4936.361988,5033.400406,-36270.091158,-76456.330700
4936.364385,4293.194464,26647.413912,-78754.617194
4936.366781,-74464.717765,17468.860231,-83964.066581
4936.369178,-59808.640114,-592.164754,-86568.791274
4936.371574,53886.992578,-28719.990550,-78754.617194
4936.373971,26351.331535,11251.130318,-71246.881314
4936.376367,-29608.237680,13619.789333,-84117.285680
4936.378764,9326.594869,-17616.901420,-81818.999186
4936.381161,46632.974346,22206.178260,-67263.184724
4936.383557,-59956.681302,29460.196492,-78141.740796
4936.385954,-21169.889941,-38046.585419,-88713.858668
4936.388350,62029.257940,18949.272115,-76149.892501
4936.390747,-21762.054695,-14359.995275,-76149.892501
4936.393143,-888.247130,-888.247130,-81359.341888
4936.395540,34049.473332,37602.461854,-78907.836294
4936.397936,4737.318029,12435.459826,-70021.128517
4936.400333,-22798.343014,-24130.713709,-82125.437386
4936.402729,47225.139100,2516.700203,-79980.369991
4936.405126,8882.471304,-444.123565,-81512.560987
4936.407522,-9474.636058,7846.182985,-77375.645298
4936.409919,30348.443622,-3849.070898,-71859.757712
4936.412316,-9622.677246,20429.683999,-76149.892501
4936.414712,-5773.606348,-26351.331535,-83657.628382
4936.417109,7402.059420,-8438.347739,-81818.999186
4936.419505,-13915.871710,23982.672521,-81359.341888
4936.421902,2220.617826,-6809.894666,-76609.549800
4936.424298,16728.654289,-51518.333563,-76149.892501
4936.426695,-3997.112087,53146.786636,-78294.959896
4936.429091,-3256.906145,-12287.418637,-83197.971083
4936.431488,28571.949361,-6365.771101,-75690.235202
4936.433884,-5477.523971,27091.537477,-77528.864398
4936.436281,-28127.825796,-740.205942,-78601.398095
4936.438678,30348.443622,-9918.759623,-75843.454302
4936.441074,-12583.501014,-10214.842000,-81818.999186
4936.443471,-26351.331535,6957.935855,-83964.066581
4936.445867,4737.318029,3849.070898,-78601.398095
4936.448264,9178.553681,29164.114115,-71093.662214
4936.450660,5181.441594,592.164754,-83504.409282
4936.453107,-23094.425390,-21910.095883,-75537.016103
4936.455554,2368.659014,3256.906145,-76303.111601
4936.458001,-52850.704259,55663.486838,-83657.628382
4936.460448,-81422.653620,-20725.766376,-86415.572174
4936.462896,78461.829852,21465.972318,-76149.892501
4936.465343,8438.347739,-39378.956114,-74924.139704
4936.467790,-69875.440925,-32421.020260,-85802.695776
