#time,accel_x,accel_y,accel_z
86.540654,3849.070898,-2368.659014,78754.617194
86.543196,3552.988522,-2368.659014,79673.931792
86.545739,3997.112087,-888.247130,79673.931792
86.548282,3997.112087,-1332.370696,78601.398095
86.550824,3552.988522,-1924.535449,79520.712692
86.553367,4589.276840,-2072.576638,79827.150892
86.555909,3552.988522,-1480.411884,78448.178995
86.558452,3701.029710,-2072.576638,78141.740796
86.560994,3256.906145,-2516.700203,79673.931792
86.563537,4145.153275,-2812.782580,79673.931792
86.566079,3997.112087,-1184.329507,78448.178995
86.568622,3256.906145,-1924.535449,79520.712692
86.571165,4441.235652,-2220.617826,79980.369991
86.573707,3701.029710,-1776.494261,78907.836294
86.576250,3997.112087,-2072.576638,78141.740796
86.578792,3256.906145,-2072.576638,79980.369991
86.581335,5181.441594,-1628.453072,79673.931792
86.583877,3701.029710,-2072.576638,78601.398095
86.586420,2664.741391,-1776.494261,78141.740796
86.588962,3849.070898,-1776.494261,79827.150892
86.591505,5181.441594,-1628.453072,79520.712692
86.594048,4145.153275,-2072.576638,78141.740796
86.596590,3552.988522,-1924.535449,78754.617194
86.599133,4293.194464,-1628.453072,79673.931792
86.601675,5181.441594,-1184.329507,78754.617194
86.604218,4589.276840,-2960.823768,77528.864398
86.606760,1924.535449,10066.800811,79827.150892
86.609249,6513.812290,1184.329507,79980.369991
86.611786,13027.624579,-4737.318029,77222.426198
86.614324,-8882.471304,-7994.224174,79061.055394
86.616861,-444.123565,16580.613101,81665.780087
86.619398,6217.729913,2664.741391,79673.931792
86.621935,5329.482782,6661.853478,78294.959896
86.624472,4885.359217,3997.112087,77222.426198
86.627009,6957.935855,-10658.965565,79520.712692
86.629546,-6661.853478,-11991.336260,77835.302597
86.632083,10214.842000,8438.347739,81359.341888
86.634621,2220.617826,4293.194464,79673.931792
86.637158,8882.471304,-26943.496289,78294.959896
86.639695,-22946.384202,-4885.359217,77375.645298
86.642232,3552.988522,-15544.324782,81206.122788
86.644769,12879.583391,13027.624579,79827.150892
86.647306,8586.388927,-10807.006753,78294.959896
86.649843,296.082377,5033.400406,78294.959896
86.652381,4441.235652,-18801.230927,77528.864398
86.654918,6957.935855,-12731.542202,78754.617194
86.657455,7994.224174,6365.771101,78448.178995
86.659992,-3552.988522,-10658.965565,80593.246390
86.662529,5033.400406,9770.718434,80286.808190
86.665066,0.000000,-8734.430116,77988.521696
86.667603,-740.205942,-21169.889941,78907.836294
86.670140,13027.624579,-4145.153275,80899.684589
86.672678,2516.700203,9178.553681,79367.493593
86.675215,3701.029710,-2664.741391,77988.521696
86.677752,3552.988522,1776.494261,78907.836294
86.680289,4737.318029,-8290.306550,80746.465489
86.682826,4293.194464,-10955.047942,80746.465489
86.685363,5625.565159,-10066.800811,77375.645298
86.687900,3256.906145,1628.453072,78601.398095
86.690437,1776.494261,9622.677246,80593.246390
86.692975,-4885.359217,-18209.066173,79061.055394
86.695512,4589.276840,-30348.443622,79980.369991
86.698049,9030.512492,888.247130,79520.712692
86.700586,-5625.565159,-3552.988522,79520.712692
86.703123,19689.478057,13175.665768,77222.426198
86.705660,-2960.823768,4885.359217,78294.959896
86.708197,-6069.688724,-39971.120868,83197.971083
86.710729,14211.954086,444.123565,79214.274493
86.713261,-25315.043216,-33309.267390,78448.178995
86.715793,21317.931130,-8142.265362,77682.083497
86.718324,1184.329507,51814.415940,81512.560987
86.720856,-25759.166782,8290.306550,87794.544071
86.723388,24870.919651,-36566.173535,74311.263306
86.725919,19097.313304,-3256.906145,77528.864398
86.728451,-13619.789333,11547.212695,80133.589091
86.730983,5033.400406,-20429.683999,80593.246390
86.733515,30496.484810,42339.779882,80286.808190
86.736046,-14359.995275,12435.459826,78754.617194
86.738578,-3404.947333,-66470.493592,78141.740796
86.741110,5477.523971,-5033.400406,73698.386908
86.743641,-4293.194464,46929.056723,79827.150892
86.746173,3997.112087,-39526.997303,80593.246390
86.748705,24722.878463,-1480.411884,77069.207099
86.751237,7105.977043,35677.926404,76149.892501
86.753768,5625.565159,-13323.706956,79980.369991
86.756300,2072.576638,-6957.935855,76609.549800
86.758832,7402.059420,16876.695478,78448.178995
86.761363,-3404.947333,-4441.235652,81359.341888
86.763895,8290.306550,11991.336260,79061.055394
86.766427,2960.823768,2516.700203,76915.987999
86.768959,-2368.659014,-8586.388927,81052.903688
86.771490,2516.700203,0.000000,80899.684589
86.774022,5181.441594,3552.988522,78141.740796
86.776554,9178.553681,-5329.482782,76149.892501
86.779085,-2072.576638,7698.141797,80593.246390
86.781617,2516.700203,13471.748144,82125.437386
86.784149,-2960.823768,2516.700203,80593.246390
86.786681,5477.523971,2220.617826,79367.493593
86.789212,1036.288319,11843.295072,78754.617194
86.791744,4737.318029,-2220.617826,78907.836294
86.794276,10066.800811,-1776.494261,78448.178995
86.796807,-5181.441594,-10955.047942,78601.398095
86.799339,9918.759623,14211.954086,81665.780087
86.801871,6513.812290,592.164754,77528.864398
86.804402,1184.329507,-47521.221476,76762.768900
86.806934,-18653.189738,34049.473332,80133.589091
86.809466,-148.041188,-10658.965565,83657.628382
86.811993,13619.789333,-9770.718434,77375.645298
86.814519,-13767.830521,13027.624579,76915.987999
86.817046,2072.576638,-24870.919651,77988.521696
86.819573,23686.590144,-41303.491564,74770.920605
86.822100,-16136.489536,34197.514520,77835.302597
86.824627,-3997.112087,-48113.386230,82738.313784
86.827153,29904.320057,-16284.530724,79827.150892
86.829680,-1184.329507,58772.351795,75230.577904
86.832207,13767.830521,-44560.397708,79827.150892
86.834734,18061.024985,-36418.132346,78141.740796
