#time,accel_x,accel_y,accel_z
4790.963264,45152.562462,-65878.328838,-78448.178995
4790.965855,-21169.889941,30348.443622,-80440.027290
4790.968446,-26499.372724,1332.370696,-80593.246390
4790.971037,28423.908173,19097.313304,-75077.358804
4790.973628,1776.494261,592.164754,-73851.606007
4790.976220,296.082377,-23242.466579,-79673.931792
4790.978811,14359.995275,8882.471304,-82278.656485
4790.981402,-1924.535449,1776.494261,-78907.836294
4790.983993,-8438.347739,38934.832549,-74311.263306
4790.986584,14508.036463,-21910.095883,-77682.083497
4790.989175,-2960.823768,21317.931130,-80440.027290
4790.991766,4885.359217,-33901.432144,-84883.381178
4790.994357,6809.894666,8882.471304,-75996.673402
4790.996948,-3552.988522,46484.933158,-75383.797003
4790.999539,-4885.359217,-28868.031738,-78754.617194
4791.002130,13619.789333,-25463.084405,-77988.521696
4791.004721,8290.306550,-65286.164084,-82431.875585
4791.007312,-13027.624579,-58328.228230,-87334.886772
4791.009903,14508.036463,20873.807564,-84270.504780
4791.012494,12583.501014,118284.909532,-69561.471218
4791.015085,-18949.272115,-26351.331535,-72319.415011
4791.017677,12879.583391,-22058.137072,-82891.532884
4791.020268,10066.800811,30348.443622,-77988.521696
4791.022859,-18357.107362,-11103.089130,-78601.398095
4791.025450,3701.029710,-87344.301156,-84730.162079
4791.028041,30940.608376,124206.557068,-72779.072310
4791.030632,-23538.548956,116952.538836,-70787.224015
4791.033223,-17616.901420,-49889.880491,-83504.409282
4791.035814,31828.855506,10658.965565,-75230.577904
4791.038405,-16136.489536,-39082.873738,-81818.999186
4791.040996,-15396.283594,-62769.463882,-84576.942979
4791.043587,27535.661042,5625.565159,-81972.218286
4791.046178,3849.070898,62029.257940,-71553.319513
4791.048769,-8882.471304,-17468.860231,-76149.892501
4791.051360,10807.006753,49001.633360,-79980.369991
4791.053951,18061.024985,-29016.072926,-81052.903688
4791.056542,-6217.729913,-18357.107362,-77835.302597
4791.059134,-1332.370696,24574.837274,-77988.521696
4791.061725,8142.265362,-12435.459826,-75537.016103
4791.064335,-2664.741391,12435.459826,-77069.207099
