freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.018e+01,1.153e+01,6.722e+02,7.139e+02
1.5,6.428e+01,1.952e+01,3.925e+02,4.763e+02
3.0,6.828e+01,1.747e+01,3.483e+01,1.206e+02
4.4,8.603e+01,1.709e+01,2.548e+02,3.579e+02
5.9,8.455e+01,1.883e+01,1.072e+03,1.175e+03
7.4,5.826e+01,1.965e+01,1.844e+03,1.922e+03
8.9,6.757e+01,1.948e+01,2.755e+03,2.842e+03
10.4,8.353e+01,2.098e+01,3.823e+03,3.927e+03
11.8,7.173e+01,2.045e+01,4.966e+03,5.058e+03
13.3,7.663e+01,1.994e+01,6.819e+03,6.915e+03
14.8,9.759e+01,2.345e+01,8.293e+03,8.414e+03
16.3,1.059e+02,2.708e+01,8.816e+03,8.949e+03
17.7,1.004e+02,2.794e+01,1.100e+04,1.113e+04
19.2,9.420e+01,2.347e+01,1.381e+04,1.393e+04
20.7,9.237e+01,1.994e+01,1.697e+04,1.708e+04
22.2,9.166e+01,1.788e+01,2.077e+04,2.088e+04
23.7,1.021e+02,1.825e+01,2.523e+04,2.535e+04
25.1,1.040e+02,1.901e+01,3.064e+04,3.076e+04
26.6,1.011e+02,1.870e+01,3.786e+04,3.798e+04
28.1,1.076e+02,2.420e+01,4.712e+04,4.726e+04
29.6,1.177e+02,6.022e+01,5.871e+04,5.888e+04
31.1,1.987e+02,1.414e+02,6.975e+04,7.009e+04
32.5,2.932e+02,1.358e+02,7.648e+04,7.691e+04
34.0,3.190e+02,7.224e+01,8.633e+04,8.673e+04
35.5,3.753e+02,4.670e+01,1.033e+05,1.038e+05
37.0,4.505e+02,5.911e+01,1.302e+05,1.307e+05
38.4,5.174e+02,1.286e+02,1.688e+05,1.694e+05
39.9,6.092e+02,3.740e+02,2.240e+05,2.250e+05
41.4,5.832e+02,1.367e+03,3.061e+05,3.081e+05
42.9,4.282e+02,4.636e+03,4.154e+05,4.205e+05
44.4,9.252e+02,7.870e+03,5.790e+05,5.878e+05
45.8,2.370e+03,1.343e+04,8.972e+05,9.130e+05
47.3,8.120e+03,2.422e+04,1.478e+06,1.510e+06
48.8,2.617e+04,3.708e+04,2.284e+06,2.347e+06
50.3,7.311e+04,4.394e+04,2.772e+06,2.889e+06
51.8,1.136e+05,3.259e+04,3.049e+06,3.195e+06
53.2,1.125e+05,1.794e+04,2.700e+06,2.831e+06
54.7,9.069e+04,1.025e+04,2.070e+06,2.170e+06
56.2,6.763e+04,7.235e+03,1.472e+06,1.547e+06
57.7,4.617e+04,5.894e+03,1.072e+06,1.124e+06
59.1,3.167e+04,5.492e+03,8.516e+05,8.887e+05
60.6,1.975e+04,4.716e+03,6.195e+05,6.440e+05
62.1,1.190e+04,3.922e+03,4.298e+05,4.456e+05
63.6,7.229e+03,3.099e+03,2.914e+05,3.017e+05
65.1,4.690e+03,2.210e+03,1.960e+05,2.029e+05
66.5,3.797e+03,1.882e+03,1.391e+05,1.448e+05
