freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.799e+01,7.437e+01,1.130e+03,1.222e+03
1.6,2.377e+01,5.526e+01,6.481e+02,7.271e+02
3.1,1.632e+01,1.838e+01,4.896e+01,8.366e+01
4.7,1.811e+01,1.970e+01,3.996e+02,4.374e+02
6.2,2.278e+01,2.500e+01,1.332e+03,1.380e+03
7.8,2.525e+01,2.680e+01,2.238e+03,2.290e+03
9.4,2.909e+01,2.700e+01,3.320e+03,3.376e+03
10.9,3.792e+01,3.079e+01,4.782e+03,4.850e+03
12.5,4.625e+01,3.244e+01,6.910e+03,6.988e+03
14.0,6.208e+01,3.602e+01,1.078e+04,1.088e+04
15.6,1.050e+02,4.393e+01,1.504e+04,1.519e+04
17.2,1.302e+02,4.854e+01,1.080e+04,1.098e+04
18.7,1.009e+02,4.338e+01,1.124e+04,1.138e+04
20.3,7.860e+01,3.903e+01,1.699e+04,1.711e+04
21.9,1.021e+02,3.243e+01,2.395e+04,2.408e+04
23.4,1.500e+02,2.406e+01,3.268e+04,3.285e+04
25.0,2.161e+02,2.151e+01,4.472e+04,4.496e+04
26.5,3.043e+02,2.924e+01,6.328e+04,6.361e+04
28.1,4.187e+02,9.452e+01,9.140e+04,9.191e+04
29.7,5.148e+02,2.701e+02,1.228e+05,1.236e+05
31.2,5.903e+02,4.751e+02,1.515e+05,1.525e+05
32.8,7.294e+02,5.547e+02,1.918e+05,1.931e+05
34.3,1.282e+03,1.051e+03,2.528e+05,2.551e+05
35.9,2.807e+03,3.308e+03,3.591e+05,3.652e+05
37.5,6.597e+03,8.901e+03,6.495e+05,6.650e+05
39.0,1.467e+04,2.165e+04,1.438e+06,1.475e+06
40.6,2.675e+04,4.542e+04,2.875e+06,2.948e+06
42.1,2.962e+04,6.070e+04,3.393e+06,3.483e+06
43.7,2.573e+04,6.047e+04,2.794e+06,2.880e+06
45.3,2.235e+04,5.470e+04,2.114e+06,2.191e+06
46.8,1.919e+04,4.918e+04,1.651e+06,1.720e+06
48.4,1.711e+04,4.780e+04,1.400e+06,1.465e+06
50.0,1.594e+04,5.773e+04,1.263e+06,1.337e+06
51.5,1.435e+04,6.314e+04,1.135e+06,1.212e+06
53.1,1.203e+04,5.287e+04,9.508e+05,1.016e+06
54.6,8.363e+03,3.736e+04,6.739e+05,7.196e+05
56.2,6.142e+03,3.027e+04,5.038e+05,5.402e+05
57.8,5.712e+03,5.159e+04,5.316e+05,5.889e+05
59.3,3.056e+03,8.721e+04,4.681e+05,5.583e+05
60.9,7.713e+02,1.072e+05,3.516e+05,4.596e+05
62.4,9.588e+02,1.254e+05,3.013e+05,4.276e+05
64.0,3.004e+03,1.303e+05,2.715e+05,4.048e+05
65.6,3.987e+03,1.057e+05,2.095e+05,3.192e+05
67.1,3.052e+03,7.044e+04,1.358e+05,2.093e+05
68.7,1.961e+03,4.701e+04,8.338e+04,1.324e+05
70.2,1.196e+03,4.287e+04,5.646e+04,1.005e+05
71.8,7.173e+02,4.915e+04,4.519e+04,9.505e+04
73.4,4.617e+02,5.929e+04,4.010e+04,9.986e+04
74.9,4.940e+02,7.612e+04,3.942e+04,1.160e+05
76.5,7.763e+02,1.160e+05,4.672e+04,1.635e+05
78.1,6.845e+02,1.696e+05,5.852e+04,2.288e+05
79.6,6.590e+02,2.021e+05,6.437e+04,2.672e+05
81.2,1.519e+03,1.941e+05,5.761e+04,2.533e+05
82.7,2.330e+03,1.666e+05,4.664e+04,2.156e+05
84.3,2.222e+03,1.365e+05,3.630e+04,1.750e+05
85.9,1.773e+03,1.055e+05,2.597e+04,1.333e+05
87.4,1.814e+03,8.136e+04,1.839e+04,1.016e+05
89.0,2.217e+03,5.889e+04,1.265e+04,7.376e+04
90.5,3.277e+03,3.988e+04,9.009e+03,5.216e+04
92.1,5.715e+03,2.092e+04,5.245e+03,3.188e+04
93.7,8.053e+03,1.294e+04,4.166e+03,2.516e+04
95.2,8.444e+03,2.304e+04,7.665e+03,3.915e+04
96.8,9.552e+03,6.057e+04,1.532e+04,8.544e+04
98.3,1.155e+04,1.270e+05,2.407e+04,1.626e+05
99.9,1.598e+04,1.773e+05,2.589e+04,2.192e+05
101.5,1.666e+04,1.583e+05,1.918e+04,1.941e+05
103.0,1.290e+04,1.400e+05,1.482e+04,1.677e+05
104.6,1.069e+04,1.182e+05,1.164e+04,1.406e+05
106.2,1.068e+04,9.562e+04,8.926e+03,1.152e+05
107.7,1.119e+04,8.565e+04,7.685e+03,1.045e+05
109.3,1.107e+04,7.944e+04,7.043e+03,9.755e+04
110.8,1.000e+04,7.341e+04,6.491e+03,8.990e+04
112.4,8.899e+03,6.496e+04,5.215e+03,7.907e+04
114.0,9.854e+03,6.029e+04,4.511e+03,7.465e+04
115.5,1.242e+04,5.964e+04,4.171e+03,7.623e+04
117.1,1.232e+04,5.258e+04,3.419e+03,6.832e+04
118.6,1.217e+04,4.548e+04,3.094e+03,6.075e+04
