freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.705e+01,1.554e+01,5.681e+02,6.107e+02
1.5,8.887e+01,5.254e+01,3.408e+02,4.822e+02
3.0,1.082e+02,5.565e+01,4.727e+01,2.111e+02
4.5,1.434e+02,5.392e+01,2.830e+02,4.803e+02
5.9,1.307e+02,4.601e+01,1.107e+03,1.283e+03
7.4,9.384e+01,4.441e+01,1.877e+03,2.015e+03
8.9,1.053e+02,4.470e+01,2.790e+03,2.940e+03
10.4,1.133e+02,4.543e+01,3.909e+03,4.067e+03
11.9,1.189e+02,4.769e+01,5.368e+03,5.535e+03
13.4,1.361e+02,5.511e+01,7.359e+03,7.550e+03
14.8,1.179e+02,8.909e+01,9.918e+03,1.012e+04
16.3,1.102e+02,1.251e+02,1.032e+04,1.056e+04
17.8,1.180e+02,7.377e+01,9.710e+03,9.902e+03
19.3,1.271e+02,5.551e+01,1.241e+04,1.259e+04
20.8,1.183e+02,5.277e+01,1.592e+04,1.609e+04
22.3,1.351e+02,5.342e+01,1.993e+04,2.012e+04
23.7,1.351e+02,5.091e+01,2.465e+04,2.484e+04
25.2,1.496e+02,5.558e+01,3.009e+04,3.029e+04
26.7,1.659e+02,6.535e+01,3.680e+04,3.703e+04
28.2,2.084e+02,6.372e+01,4.501e+04,4.528e+04
29.7,2.597e+02,6.310e+01,5.524e+04,5.556e+04
31.2,2.352e+02,5.933e+01,6.720e+04,6.750e+04
32.7,2.320e+02,7.794e+01,8.120e+04,8.151e+04
34.1,2.374e+02,1.202e+02,9.937e+04,9.972e+04
35.6,2.981e+02,2.888e+02,1.204e+05,1.210e+05
37.1,4.999e+02,6.271e+02,1.461e+05,1.472e+05
38.6,7.887e+02,8.145e+02,1.776e+05,1.792e+05
40.1,1.046e+03,8.794e+02,2.254e+05,2.273e+05
41.6,1.298e+03,1.494e+03,3.033e+05,3.061e+05
43.0,1.650e+03,2.677e+03,4.053e+05,4.096e+05
44.5,1.819e+03,3.367e+03,5.588e+05,5.640e+05
46.0,2.458e+03,4.694e+03,9.134e+05,9.205e+05
47.5,4.243e+03,5.437e+03,1.553e+06,1.563e+06
49.0,5.922e+03,2.334e+03,2.064e+06,2.072e+06
50.5,1.411e+04,8.482e+02,2.177e+06,2.192e+06
52.0,2.440e+04,2.363e+03,2.094e+06,2.121e+06
53.4,3.322e+04,6.617e+03,1.917e+06,1.957e+06
54.9,3.771e+04,1.102e+04,1.684e+06,1.732e+06
56.4,3.672e+04,1.176e+04,1.436e+06,1.485e+06
57.9,3.314e+04,9.965e+03,1.164e+06,1.207e+06
59.4,2.940e+04,8.027e+03,8.945e+05,9.319e+05
60.9,2.321e+04,6.662e+03,6.576e+05,6.875e+05
62.3,1.684e+04,5.361e+03,4.766e+05,4.988e+05
63.8,1.246e+04,3.689e+03,3.694e+05,3.855e+05
65.3,9.001e+03,2.334e+03,2.814e+05,2.927e+05
