freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.390e+01,6.219e+02,2.277e+02,8.635e+02
1.6,1.976e+01,3.585e+02,1.465e+02,5.247e+02
3.1,1.441e+01,1.761e+01,4.127e+01,7.329e+01
4.7,1.589e+01,1.858e+01,3.808e+02,4.152e+02
6.2,1.554e+01,2.085e+01,1.326e+03,1.363e+03
7.8,1.571e+01,2.301e+01,2.190e+03,2.228e+03
9.4,1.531e+01,2.538e+01,3.253e+03,3.294e+03
10.9,1.583e+01,2.173e+01,4.955e+03,4.993e+03
12.5,1.937e+01,2.250e+01,7.665e+03,7.706e+03
14.0,2.543e+01,3.301e+01,1.157e+04,1.163e+04
15.6,3.903e+01,6.350e+01,1.632e+04,1.643e+04
17.2,6.329e+01,1.023e+02,2.078e+04,2.095e+04
18.7,7.743e+01,1.431e+02,2.135e+04,2.157e+04
20.3,7.704e+01,1.852e+02,2.059e+04,2.085e+04
21.8,7.502e+01,3.552e+02,2.607e+04,2.651e+04
23.4,7.873e+01,8.304e+02,3.732e+04,3.823e+04
25.0,9.351e+01,1.901e+03,5.365e+04,5.564e+04
26.5,1.300e+02,4.421e+03,7.833e+04,8.288e+04
28.1,2.195e+02,1.364e+04,1.181e+05,1.320e+05
29.6,6.019e+02,6.624e+04,1.798e+05,2.467e+05
31.2,1.498e+03,2.027e+05,2.241e+05,4.283e+05
32.8,2.141e+03,3.184e+05,2.275e+05,5.481e+05
34.3,2.577e+03,3.934e+05,2.178e+05,6.138e+05
35.9,3.303e+03,4.671e+05,2.046e+05,6.750e+05
37.4,4.103e+03,5.821e+05,1.896e+05,7.758e+05
39.0,5.027e+03,7.503e+05,1.708e+05,9.262e+05
40.6,7.277e+03,1.007e+06,1.560e+05,1.170e+06
42.1,1.135e+04,1.300e+06,1.564e+05,1.468e+06
43.7,1.315e+04,1.390e+06,1.516e+05,1.554e+06
45.2,1.200e+04,1.314e+06,1.300e+05,1.456e+06
46.8,9.577e+03,1.161e+06,1.024e+05,1.273e+06
48.4,6.661e+03,9.617e+05,7.252e+04,1.041e+06
49.9,5.161e+03,8.355e+05,5.617e+04,8.969e+05
51.5,4.809e+03,7.334e+05,4.914e+04,7.874e+05
53.0,4.290e+03,6.143e+05,4.211e+04,6.607e+05
54.6,3.754e+03,5.098e+05,3.747e+04,5.510e+05
56.2,3.343e+03,4.359e+05,3.302e+04,4.722e+05
57.7,2.879e+03,3.908e+05,2.876e+04,4.224e+05
59.3,1.975e+03,3.521e+05,2.550e+04,3.796e+05
60.8,1.441e+03,3.444e+05,2.526e+04,3.711e+05
62.4,1.749e+03,3.531e+05,2.698e+04,3.819e+05
64.0,2.902e+03,2.975e+05,2.457e+04,3.249e+05
65.5,3.091e+03,2.697e+05,2.517e+04,2.980e+05
67.1,2.310e+03,2.669e+05,2.936e+04,2.986e+05
68.6,2.232e+03,2.489e+05,3.414e+04,2.853e+05
70.2,2.253e+03,2.033e+05,3.339e+04,2.389e+05
71.8,1.525e+03,1.517e+05,2.782e+04,1.810e+05
73.3,2.321e+03,1.099e+05,2.119e+04,1.334e+05
74.9,4.088e+03,8.247e+04,1.615e+04,1.027e+05
76.4,5.183e+03,6.606e+04,1.264e+04,8.388e+04
78.0,5.418e+03,5.754e+04,9.928e+03,7.289e+04
79.6,5.140e+03,5.025e+04,8.032e+03,6.342e+04
81.1,4.921e+03,5.030e+04,7.909e+03,6.313e+04
82.7,4.914e+03,6.016e+04,9.433e+03,7.451e+04
84.2,3.441e+03,6.578e+04,1.067e+04,7.989e+04
85.8,2.460e+03,6.319e+04,1.085e+04,7.649e+04
87.4,2.400e+03,5.696e+04,1.038e+04,6.975e+04
88.9,1.860e+03,5.681e+04,1.078e+04,6.945e+04
90.5,1.418e+03,5.517e+04,1.045e+04,6.704e+04
92.0,1.110e+03,4.495e+04,8.624e+03,5.469e+04
93.6,2.136e+03,3.143e+04,6.153e+03,3.972e+04
95.2,4.647e+03,1.840e+04,3.754e+03,2.680e+04
96.7,7.431e+03,8.340e+03,2.023e+03,1.779e+04
98.3,9.486e+03,2.208e+03,1.122e+03,1.282e+04
99.8,1.229e+04,1.677e+03,1.528e+03,1.550e+04
101.4,1.568e+04,4.520e+03,2.707e+03,2.290e+04
102.9,1.746e+04,1.114e+04,4.580e+03,3.318e+04
104.5,2.111e+04,2.347e+04,7.606e+03,5.218e+04
106.1,2.491e+04,3.685e+04,1.039e+04,7.215e+04
107.6,2.734e+04,4.576e+04,1.181e+04,8.491e+04
109.2,2.697e+04,5.055e+04,1.259e+04,9.010e+04
110.7,2.512e+04,5.284e+04,1.300e+04,9.096e+04
112.3,2.231e+04,5.302e+04,1.316e+04,8.849e+04
113.9,2.047e+04,5.202e+04,1.335e+04,8.585e+04
115.4,2.037e+04,4.997e+04,1.355e+04,8.389e+04
117.0,2.239e+04,4.935e+04,1.407e+04,8.581e+04
118.5,2.319e+04,4.726e+04,1.437e+04,8.483e+04
120.1,2.605e+04,4.339e+04,1.427e+04,8.372e+04
121.7,3.336e+04,4.039e+04,1.425e+04,8.800e+04
123.2,4.255e+04,3.851e+04,1.396e+04,9.502e+04
124.8,5.477e+04,3.651e+04,1.305e+04,1.043e+05
126.3,7.802e+04,3.219e+04,1.135e+04,1.216e+05
127.9,1.058e+05,3.097e+04,1.078e+04,1.476e+05
129.5,1.204e+05,3.657e+04,1.289e+04,1.699e+05
131.0,1.024e+05,4.027e+04,1.444e+04,1.571e+05
132.6,5.137e+04,2.617e+04,9.423e+03,8.696e+04
134.1,7.430e+03,4.919e+03,1.701e+03,1.405e+04
135.7,8.899e+02,1.311e+03,3.861e+02,2.587e+03
137.3,7.269e+02,1.265e+03,3.896e+02,2.381e+03
138.8,6.669e+02,1.203e+03,3.863e+02,2.257e+03
140.4,6.679e+02,1.135e+03,4.205e+02,2.224e+03
141.9,7.771e+02,1.052e+03,5.145e+02,2.344e+03
143.5,1.006e+03,1.044e+03,6.425e+02,2.692e+03
145.1,1.254e+03,1.128e+03,8.169e+02,3.199e+03
146.6,9.794e+02,8.168e+02,7.443e+02,2.541e+03
148.2,9.313e+02,7.213e+02,8.271e+02,2.480e+03
149.7,1.012e+03,7.030e+02,1.023e+03,2.737e+03
151.3,1.056e+03,7.812e+02,1.330e+03,3.167e+03
152.9,1.079e+03,8.757e+02,1.662e+03,3.616e+03
154.4,1.015e+03,8.877e+02,1.771e+03,3.673e+03
156.0,9.258e+02,8.301e+02,1.737e+03,3.493e+03
157.5,8.382e+02,7.507e+02,1.619e+03,3.208e+03
159.1,7.765e+02,7.736e+02,1.536e+03,3.086e+03
160.7,8.786e+02,9.345e+02,1.520e+03,3.333e+03
162.2,8.137e+02,1.020e+03,1.463e+03,3.297e+03
163.8,6.308e+02,8.224e+02,1.462e+03,2.915e+03
165.3,4.890e+02,7.484e+02,1.399e+03,2.636e+03
166.9,3.964e+02,6.737e+02,1.303e+03,2.373e+03
168.5,3.326e+02,5.507e+02,1.272e+03,2.155e+03
170.0,3.150e+02,4.981e+02,1.247e+03,2.060e+03
171.6,3.513e+02,5.397e+02,1.227e+03,2.118e+03
173.1,3.991e+02,5.454e+02,1.201e+03,2.145e+03
174.7,3.937e+02,4.758e+02,1.061e+03,1.931e+03
176.3,3.222e+02,4.257e+02,7.602e+02,1.508e+03
177.8,2.779e+02,4.430e+02,4.519e+02,1.173e+03
179.4,3.004e+02,4.506e+02,3.789e+02,1.130e+03
180.9,2.742e+02,4.182e+02,2.867e+02,9.790e+02
182.5,2.318e+02,3.770e+02,2.270e+02,8.358e+02
184.1,2.153e+02,3.553e+02,2.562e+02,8.268e+02
185.6,2.424e+02,3.283e+02,3.482e+02,9.188e+02
187.2,2.840e+02,3.045e+02,4.660e+02,1.055e+03
188.7,3.294e+02,3.320e+02,6.133e+02,1.275e+03
190.3,3.873e+02,4.001e+02,7.856e+02,1.573e+03
191.9,5.126e+02,5.538e+02,1.081e+03,2.147e+03
193.4,7.327e+02,6.915e+02,1.650e+03,3.074e+03
195.0,7.632e+02,8.470e+02,1.926e+03,3.536e+03
196.5,7.640e+02,1.156e+03,2.159e+03,4.079e+03
198.1,8.307e+02,1.331e+03,2.595e+03,4.757e+03
199.7,8.998e+02,1.301e+03,2.911e+03,5.112e+03
