freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.871e+02,3.089e+01,9.763e+00,9.277e+02
1.6,4.989e+02,2.966e+01,2.750e+01,5.561e+02
3.1,2.901e+01,1.791e+01,2.879e+01,7.571e+01
4.7,3.579e+02,1.843e+01,2.641e+01,4.028e+02
6.2,1.238e+03,2.011e+01,2.914e+01,1.288e+03
7.8,2.006e+03,2.109e+01,3.178e+01,2.059e+03
9.4,2.918e+03,2.349e+01,3.060e+01,2.973e+03
10.9,4.129e+03,2.507e+01,3.027e+01,4.184e+03
12.5,5.483e+03,2.884e+01,3.263e+01,5.544e+03
14.0,7.358e+03,3.587e+01,3.172e+01,7.425e+03
15.6,9.809e+03,4.651e+01,3.674e+01,9.893e+03
17.2,1.109e+04,5.227e+01,5.331e+01,1.119e+04
18.7,1.156e+04,5.409e+01,5.363e+01,1.167e+04
20.3,1.382e+04,5.554e+01,4.010e+01,1.392e+04
21.8,1.696e+04,5.715e+01,3.251e+01,1.705e+04
23.4,2.041e+04,6.767e+01,3.270e+01,2.051e+04
25.0,2.445e+04,7.589e+01,2.961e+01,2.455e+04
26.5,2.938e+04,8.118e+01,2.814e+01,2.949e+04
28.1,3.495e+04,8.307e+01,2.998e+01,3.507e+04
29.6,4.170e+04,8.581e+01,3.907e+01,4.182e+04
31.2,4.995e+04,1.063e+02,6.806e+01,5.013e+04
32.8,5.928e+04,1.877e+02,1.418e+02,5.961e+04
34.3,6.984e+04,3.575e+02,2.186e+02,7.041e+04
35.9,8.180e+04,4.429e+02,2.420e+02,8.248e+04
37.4,9.559e+04,3.887e+02,2.128e+02,9.619e+04
39.0,1.124e+05,3.791e+02,2.511e+02,1.130e+05
40.6,1.345e+05,1.436e+03,1.033e+03,1.369e+05
42.1,1.628e+05,5.771e+03,3.575e+03,1.721e+05
43.7,1.985e+05,9.786e+03,5.377e+03,2.137e+05
45.2,2.451e+05,9.883e+03,4.778e+03,2.597e+05
46.8,3.132e+05,1.001e+04,3.818e+03,3.271e+05
48.4,4.157e+05,1.150e+04,3.503e+03,4.307e+05
49.9,5.972e+05,1.493e+04,3.903e+03,6.161e+05
51.5,9.198e+05,2.302e+04,4.332e+03,9.472e+05
53.0,1.637e+06,4.777e+04,5.125e+03,1.690e+06
54.6,2.987e+06,1.097e+05,8.589e+03,3.106e+06
56.2,4.031e+06,1.671e+05,1.477e+04,4.213e+06
57.7,4.004e+06,1.611e+05,2.027e+04,4.185e+06
59.3,3.341e+06,1.167e+05,2.160e+04,3.479e+06
60.8,2.530e+06,7.059e+04,2.017e+04,2.621e+06
62.4,1.885e+06,3.648e+04,1.872e+04,1.940e+06
64.0,1.428e+06,1.683e+04,1.693e+04,1.462e+06
65.5,1.084e+06,8.918e+03,1.399e+04,1.107e+06
67.1,8.683e+05,7.941e+03,1.152e+04,8.877e+05
68.6,6.789e+05,7.786e+03,9.251e+03,6.959e+05
70.2,4.854e+05,8.820e+03,6.603e+03,5.008e+05
71.8,3.326e+05,1.247e+04,3.727e+03,3.488e+05
73.3,2.312e+05,1.409e+04,1.693e+03,2.469e+05
74.9,1.613e+05,1.167e+04,6.973e+02,1.737e+05
76.4,1.237e+05,6.610e+03,5.341e+02,1.309e+05
78.0,9.671e+04,3.652e+03,4.051e+02,1.008e+05
79.6,7.373e+04,2.860e+03,4.038e+02,7.700e+04
81.1,6.439e+04,2.399e+03,5.868e+02,6.738e+04
82.7,9.130e+04,2.728e+03,1.029e+03,9.506e+04
84.2,1.347e+05,3.012e+03,1.707e+03,1.394e+05
85.8,1.731e+05,2.392e+03,2.312e+03,1.778e+05
87.4,2.266e+05,1.634e+03,3.513e+03,2.318e+05
88.9,2.556e+05,2.956e+03,3.275e+03,2.618e+05
90.5,2.876e+05,9.181e+03,2.400e+03,2.992e+05
92.0,3.411e+05,1.921e+04,1.354e+03,3.616e+05
93.6,3.989e+05,2.823e+04,4.433e+02,4.276e+05
95.2,4.547e+05,3.249e+04,2.208e+02,4.874e+05
96.7,5.070e+05,3.204e+04,7.203e+02,5.397e+05
98.3,5.259e+05,2.754e+04,1.544e+03,5.550e+05
99.8,5.289e+05,2.289e+04,2.380e+03,5.541e+05
101.4,5.148e+05,1.956e+04,2.635e+03,5.370e+05
103.0,4.909e+05,1.657e+04,2.522e+03,5.100e+05
104.5,4.908e+05,1.404e+04,2.515e+03,5.073e+05
106.1,4.964e+05,1.229e+04,2.450e+03,5.111e+05
107.6,5.071e+05,1.142e+04,2.317e+03,5.208e+05
109.2,5.127e+05,1.195e+04,2.007e+03,5.267e+05
110.8,5.040e+05,1.596e+04,1.413e+03,5.214e+05
112.3,4.702e+05,2.274e+04,8.321e+02,4.938e+05
113.9,4.520e+05,2.970e+04,5.968e+02,4.823e+05
115.4,4.570e+05,3.389e+04,6.149e+02,4.916e+05
117.0,4.439e+05,3.431e+04,8.283e+02,4.790e+05
118.6,4.528e+05,3.792e+04,1.495e+03,4.922e+05
120.1,5.140e+05,4.194e+04,2.666e+03,5.586e+05
121.7,5.644e+05,4.375e+04,4.413e+03,6.126e+05
123.2,5.495e+05,4.445e+04,6.584e+03,6.006e+05
124.8,4.652e+05,4.140e+04,8.070e+03,5.147e+05
126.4,3.803e+05,3.201e+04,8.451e+03,4.208e+05
127.9,3.388e+05,2.818e+04,9.936e+03,3.769e+05
129.5,3.121e+05,2.824e+04,1.289e+04,3.532e+05
131.0,2.603e+05,2.670e+04,1.477e+04,3.018e+05
132.6,1.571e+05,1.641e+04,1.103e+04,1.846e+05
134.2,3.349e+04,3.300e+03,3.008e+03,3.979e+04
135.7,6.823e+03,4.595e+02,6.247e+02,7.907e+03
137.3,5.331e+03,2.489e+02,5.112e+02,6.091e+03
138.8,4.954e+03,2.540e+02,5.065e+02,5.715e+03
140.4,4.122e+03,2.175e+02,4.887e+02,4.828e+03
142.0,3.404e+03,2.090e+02,5.419e+02,4.155e+03
143.5,3.451e+03,2.987e+02,6.594e+02,4.409e+03
145.1,3.311e+03,4.315e+02,7.757e+02,4.518e+03
146.6,2.750e+03,4.721e+02,8.810e+02,4.103e+03
148.2,2.241e+03,2.664e+02,8.146e+02,3.322e+03
149.8,2.016e+03,9.667e+01,7.462e+02,2.859e+03
151.3,2.171e+03,1.015e+02,1.106e+03,3.379e+03
152.9,2.063e+03,1.683e+02,1.327e+03,3.558e+03
154.4,2.075e+03,4.203e+02,1.191e+03,3.686e+03
156.0,2.017e+03,4.640e+02,1.164e+03,3.645e+03
157.6,1.597e+03,3.333e+02,1.150e+03,3.081e+03
