freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.704e+02,1.674e+01,8.376e+00,3.955e+02
1.6,2.220e+02,2.366e+01,2.265e+01,2.683e+02
3.1,2.307e+01,1.836e+01,2.913e+01,7.055e+01
4.7,3.319e+02,1.745e+01,3.103e+01,3.804e+02
6.2,1.192e+03,1.833e+01,2.867e+01,1.239e+03
7.8,1.994e+03,2.220e+01,3.085e+01,2.047e+03
9.3,2.908e+03,2.486e+01,2.910e+01,2.962e+03
10.9,4.058e+03,2.826e+01,2.973e+01,4.116e+03
12.5,5.532e+03,3.516e+01,2.845e+01,5.596e+03
14.0,7.579e+03,4.350e+01,3.109e+01,7.654e+03
15.6,9.664e+03,4.533e+01,5.948e+01,9.768e+03
17.1,9.642e+03,4.594e+01,6.543e+01,9.754e+03
18.7,1.094e+04,6.061e+01,4.174e+01,1.104e+04
20.2,1.441e+04,8.000e+01,4.327e+01,1.454e+04
21.8,1.846e+04,1.010e+02,4.026e+01,1.860e+04
23.4,2.128e+04,1.109e+02,4.184e+01,2.143e+04
24.9,2.347e+04,1.051e+02,3.924e+01,2.361e+04
26.5,2.876e+04,1.291e+02,3.473e+01,2.893e+04
28.0,3.554e+04,1.700e+02,3.975e+01,3.575e+04
29.6,4.350e+04,2.192e+02,5.993e+01,4.378e+04
31.1,5.341e+04,2.921e+02,1.369e+02,5.384e+04
32.7,6.563e+04,4.709e+02,2.937e+02,6.639e+04
34.3,7.995e+04,6.468e+02,2.029e+02,8.080e+04
35.8,9.927e+04,9.253e+02,6.921e+01,1.003e+05
37.4,1.258e+05,1.685e+03,9.665e+01,1.276e+05
38.9,1.568e+05,2.472e+03,1.947e+02,1.595e+05
40.5,1.923e+05,2.879e+03,6.900e+02,1.959e+05
42.0,2.390e+05,2.612e+03,2.532e+03,2.441e+05
43.6,2.999e+05,1.681e+03,4.062e+03,3.056e+05
45.2,3.760e+05,1.827e+03,4.404e+03,3.822e+05
46.7,4.755e+05,3.207e+03,5.190e+03,4.839e+05
48.3,6.339e+05,5.817e+03,7.792e+03,6.475e+05
49.8,7.490e+05,8.902e+03,9.085e+03,7.670e+05
51.4,8.171e+05,1.314e+04,1.031e+04,8.405e+05
53.0,7.490e+05,1.606e+04,1.080e+04,7.759e+05
54.5,5.781e+05,1.707e+04,9.290e+03,6.045e+05
56.1,4.123e+05,1.553e+04,5.752e+03,4.336e+05
57.6,2.477e+05,1.031e+04,2.661e+03,2.607e+05
59.2,1.480e+05,6.305e+03,1.920e+03,1.562e+05
60.7,1.632e+05,7.242e+03,4.106e+03,1.746e+05
62.3,2.208e+05,1.047e+04,7.622e+03,2.389e+05
63.9,1.982e+05,1.025e+04,8.117e+03,2.166e+05
65.4,1.208e+05,7.317e+03,5.855e+03,1.339e+05
67.0,6.134e+04,4.435e+03,3.770e+03,6.955e+04
68.5,3.200e+04,2.348e+03,2.238e+03,3.659e+04
70.1,3.103e+04,9.924e+02,1.283e+03,3.331e+04
71.6,4.607e+04,3.461e+02,7.604e+02,4.717e+04
73.2,5.025e+04,5.672e+02,6.248e+02,5.144e+04
74.8,5.269e+04,2.126e+03,6.485e+02,5.547e+04
76.3,5.785e+04,3.563e+03,5.551e+02,6.197e+04
77.9,5.584e+04,7.093e+03,5.828e+02,6.352e+04
79.4,7.628e+04,1.325e+04,7.683e+02,9.029e+04
81.0,8.061e+04,1.329e+04,9.291e+02,9.484e+04
82.5,6.221e+04,9.699e+03,1.048e+03,7.296e+04
84.1,4.774e+04,7.146e+03,1.541e+03,5.642e+04
