freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.408e+03,4.025e+01,1.436e+01,1.463e+03
1.6,7.940e+02,3.716e+01,3.153e+01,8.627e+02
3.1,3.632e+01,1.942e+01,3.328e+01,8.902e+01
4.7,6.372e+02,1.844e+01,3.073e+01,6.863e+02
6.3,2.215e+03,2.073e+01,2.664e+01,2.262e+03
7.8,3.636e+03,2.679e+01,2.654e+01,3.689e+03
9.4,5.281e+03,2.490e+01,2.890e+01,5.335e+03
11.0,7.491e+03,2.620e+01,3.045e+01,7.548e+03
12.5,1.061e+04,3.774e+01,2.831e+01,1.068e+04
14.1,1.521e+04,4.354e+01,2.886e+01,1.528e+04
15.7,1.605e+04,4.379e+01,2.720e+01,1.612e+04
17.2,1.451e+04,4.120e+01,2.608e+01,1.458e+04
18.8,1.926e+04,5.055e+01,2.668e+01,1.934e+04
20.3,2.514e+04,6.199e+01,2.787e+01,2.523e+04
21.9,3.059e+04,7.215e+01,3.257e+01,3.069e+04
23.5,3.676e+04,8.082e+01,2.954e+01,3.687e+04
25.0,4.363e+04,1.033e+02,2.840e+01,4.377e+04
26.6,5.136e+04,1.185e+02,2.832e+01,5.151e+04
28.2,6.132e+04,1.423e+02,2.845e+01,6.149e+04
29.7,7.338e+04,1.788e+02,2.958e+01,7.359e+04
31.3,8.716e+04,2.496e+02,2.873e+01,8.744e+04
32.9,1.033e+05,3.198e+02,3.073e+01,1.037e+05
34.4,1.232e+05,3.351e+02,4.027e+01,1.235e+05
36.0,1.395e+05,3.200e+02,4.423e+01,1.399e+05
37.6,1.543e+05,3.469e+02,4.800e+01,1.547e+05
39.1,1.807e+05,4.396e+02,4.484e+01,1.811e+05
40.7,2.167e+05,5.282e+02,4.771e+01,2.173e+05
42.3,2.611e+05,6.119e+02,7.920e+01,2.618e+05
43.8,3.251e+05,7.552e+02,1.520e+02,3.260e+05
45.4,4.122e+05,9.317e+02,3.151e+02,4.134e+05
47.0,5.359e+05,1.121e+03,7.690e+02,5.378e+05
48.5,7.099e+05,3.057e+03,2.901e+03,7.159e+05
50.1,9.868e+05,1.406e+04,9.839e+03,1.011e+06
51.7,1.431e+06,2.955e+04,1.665e+04,1.477e+06
53.2,2.286e+06,4.971e+04,1.985e+04,2.356e+06
54.8,3.832e+06,9.659e+04,2.489e+04,3.954e+06
56.3,5.921e+06,1.897e+05,3.079e+04,6.142e+06
57.9,7.641e+06,2.723e+05,3.696e+04,7.950e+06
59.5,8.128e+06,2.717e+05,4.007e+04,8.440e+06
61.0,7.116e+06,2.204e+05,3.577e+04,7.372e+06
62.6,5.339e+06,1.566e+05,3.286e+04,5.528e+06
64.2,3.652e+06,8.952e+04,2.848e+04,3.770e+06
65.7,2.496e+06,4.177e+04,2.179e+04,2.560e+06
67.3,1.737e+06,1.683e+04,1.619e+04,1.770e+06
68.9,1.164e+06,5.011e+03,1.117e+04,1.180e+06
70.4,7.549e+05,1.684e+03,7.212e+03,7.638e+05
72.0,4.554e+05,3.869e+03,4.045e+03,4.633e+05
73.6,2.478e+05,5.908e+03,1.474e+03,2.552e+05
75.1,7.332e+04,2.459e+03,2.936e+02,7.607e+04
76.7,5.678e+03,3.477e+02,4.389e+01,6.069e+03
78.3,1.747e+03,4.160e+02,4.663e+01,2.210e+03
79.8,1.099e+03,4.504e+02,4.506e+01,1.594e+03
81.4,1.003e+03,5.461e+02,3.910e+01,1.588e+03
83.0,1.276e+03,1.005e+03,4.212e+01,2.323e+03
84.5,4.233e+03,1.062e+03,5.064e+01,5.345e+03
86.1,1.153e+04,8.084e+02,8.207e+01,1.242e+04
87.7,1.662e+04,6.482e+02,1.099e+02,1.738e+04
89.2,1.266e+04,5.766e+02,1.013e+02,1.333e+04
90.8,1.222e+04,9.434e+02,1.001e+02,1.327e+04
92.3,1.869e+04,7.203e+02,1.317e+02,1.954e+04
93.9,2.244e+04,6.620e+02,1.547e+02,2.326e+04
