freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.689e+02,1.843e+01,1.394e+01,5.012e+02
1.6,2.677e+02,2.321e+01,2.865e+01,3.195e+02
3.1,2.863e+01,1.804e+01,2.910e+01,7.576e+01
4.7,3.586e+02,1.914e+01,3.184e+01,4.096e+02
6.2,1.225e+03,2.018e+01,3.026e+01,1.275e+03
7.8,1.999e+03,2.210e+01,2.781e+01,2.049e+03
9.3,2.920e+03,2.621e+01,2.760e+01,2.973e+03
10.9,4.071e+03,3.007e+01,2.908e+01,4.130e+03
12.5,5.421e+03,3.353e+01,2.826e+01,5.483e+03
14.0,7.229e+03,4.061e+01,2.825e+01,7.298e+03
15.6,9.556e+03,4.773e+01,2.865e+01,9.632e+03
17.1,1.035e+04,5.044e+01,2.992e+01,1.043e+04
18.7,1.086e+04,5.099e+01,3.054e+01,1.094e+04
20.2,1.334e+04,4.966e+01,2.789e+01,1.342e+04
21.8,1.633e+04,5.433e+01,3.065e+01,1.641e+04
23.4,1.966e+04,6.029e+01,3.311e+01,1.976e+04
24.9,2.352e+04,6.568e+01,3.817e+01,2.362e+04
26.5,2.827e+04,7.205e+01,4.763e+01,2.839e+04
28.0,3.368e+04,7.438e+01,6.817e+01,3.382e+04
29.6,3.981e+04,8.556e+01,9.270e+01,3.999e+04
31.1,4.703e+04,1.002e+02,1.355e+02,4.727e+04
32.7,5.546e+04,1.247e+02,2.318e+02,5.582e+04
34.3,6.603e+04,1.593e+02,4.826e+02,6.667e+04
35.8,7.782e+04,2.379e+02,8.904e+02,7.895e+04
37.4,8.867e+04,3.917e+02,1.148e+03,9.021e+04
38.9,1.019e+05,6.105e+02,1.183e+03,1.037e+05
40.5,1.182e+05,8.390e+02,1.148e+03,1.202e+05
42.0,1.408e+05,1.098e+03,1.133e+03,1.430e+05
43.6,1.747e+05,1.377e+03,1.119e+03,1.772e+05
45.2,2.214e+05,1.731e+03,1.168e+03,2.243e+05
46.7,2.910e+05,2.189e+03,1.734e+03,2.949e+05
48.3,3.964e+05,3.348e+03,6.919e+03,4.067e+05
49.8,5.740e+05,7.397e+03,1.870e+04,6.001e+05
51.4,9.049e+05,1.500e+04,2.928e+04,9.492e+05
53.0,1.420e+06,2.594e+04,3.467e+04,1.481e+06
54.5,1.782e+06,3.552e+04,3.499e+04,1.853e+06
56.1,1.738e+06,3.529e+04,2.900e+04,1.802e+06
57.6,1.504e+06,2.982e+04,2.191e+04,1.555e+06
59.2,1.193e+06,2.306e+04,1.793e+04,1.234e+06
60.7,8.905e+05,1.669e+04,1.443e+04,9.216e+05
62.3,6.488e+05,1.144e+04,9.913e+03,6.701e+05
63.9,4.428e+05,6.032e+03,4.890e+03,4.537e+05
65.4,2.889e+05,2.085e+03,1.724e+03,2.927e+05
67.0,1.933e+05,7.457e+02,8.401e+02,1.949e+05
68.5,1.295e+05,1.167e+03,9.263e+02,1.316e+05
70.1,9.108e+04,1.874e+03,1.085e+03,9.404e+04
71.6,7.062e+04,3.660e+03,1.764e+03,7.604e+04
73.2,7.813e+04,8.906e+03,4.124e+03,9.116e+04
74.8,1.366e+05,1.740e+04,8.480e+03,1.625e+05
76.3,2.350e+05,1.870e+04,1.309e+04,2.668e+05
77.9,3.021e+05,1.577e+04,1.547e+04,3.333e+05
79.4,2.940e+05,1.647e+04,1.552e+04,3.259e+05
81.0,2.543e+05,1.146e+04,1.354e+04,2.793e+05
82.5,2.146e+05,1.123e+04,1.083e+04,2.366e+05
84.1,1.657e+05,1.020e+04,9.487e+03,1.853e+05
85.7,1.256e+05,1.021e+04,8.697e+03,1.445e+05
87.2,1.069e+05,1.240e+04,9.448e+03,1.287e+05
88.8,9.438e+04,1.252e+04,1.047e+04,1.174e+05
90.3,8.094e+04,1.452e+04,1.115e+04,1.066e+05
91.9,6.802e+04,1.573e+04,1.141e+04,9.516e+04
93.4,5.703e+04,1.630e+04,1.008e+04,8.341e+04
95.0,5.138e+04,2.282e+04,8.599e+03,8.280e+04
96.6,4.321e+04,2.651e+04,8.380e+03,7.810e+04
98.1,3.355e+04,2.448e+04,6.409e+03,6.443e+04
99.7,2.534e+04,2.006e+04,4.590e+03,4.999e+04
101.2,1.911e+04,1.609e+04,3.715e+03,3.892e+04
102.8,1.480e+04,1.187e+04,3.017e+03,2.969e+04
104.3,1.266e+04,7.590e+03,2.551e+03,2.280e+04
105.9,9.580e+03,4.744e+03,2.466e+03,1.679e+04
107.5,6.461e+03,4.197e+03,3.179e+03,1.384e+04
109.0,1.113e+04,6.066e+03,5.060e+03,2.226e+04
110.6,2.482e+04,8.668e+03,8.095e+03,4.158e+04
112.1,4.696e+04,1.060e+04,1.047e+04,6.804e+04
113.7,7.430e+04,1.326e+04,1.157e+04,9.914e+04
115.2,1.079e+05,1.725e+04,1.270e+04,1.378e+05
116.8,1.377e+05,2.299e+04,1.391e+04,1.746e+05
118.4,1.555e+05,2.358e+04,1.206e+04,1.911e+05
119.9,1.570e+05,2.243e+04,8.449e+03,1.879e+05
121.5,1.548e+05,2.331e+04,5.883e+03,1.840e+05
123.0,1.488e+05,2.306e+04,3.930e+03,1.758e+05
124.6,1.382e+05,2.233e+04,2.504e+03,1.630e+05
126.1,1.195e+05,2.068e+04,1.537e+03,1.418e+05
127.7,1.017e+05,1.895e+04,9.807e+02,1.216e+05
129.3,8.719e+04,1.694e+04,7.365e+02,1.049e+05
130.8,7.287e+04,1.349e+04,6.308e+02,8.699e+04
132.4,4.648e+04,8.925e+03,6.453e+02,5.605e+04
