freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.493e+01,1.303e+01,8.001e+02,8.280e+02
1.5,3.151e+01,2.226e+01,4.655e+02,5.193e+02
2.9,3.440e+01,1.858e+01,3.574e+01,8.872e+01
4.4,3.375e+01,1.870e+01,2.274e+02,2.798e+02
5.8,3.326e+01,1.961e+01,1.030e+03,1.083e+03
7.3,3.298e+01,1.801e+01,1.814e+03,1.865e+03
8.7,3.696e+01,1.776e+01,2.662e+03,2.716e+03
10.2,3.407e+01,1.761e+01,3.759e+03,3.810e+03
11.7,3.288e+01,2.017e+01,5.255e+03,5.308e+03
13.1,3.421e+01,2.163e+01,7.331e+03,7.387e+03
14.6,3.662e+01,2.669e+01,8.842e+03,8.906e+03
16.0,3.802e+01,3.412e+01,7.817e+03,7.889e+03
17.5,3.702e+01,3.403e+01,8.822e+03,8.893e+03
19.0,3.737e+01,2.841e+01,1.150e+04,1.157e+04
20.4,4.130e+01,2.581e+01,1.451e+04,1.458e+04
21.9,4.620e+01,2.738e+01,1.803e+04,1.810e+04
23.3,4.917e+01,3.220e+01,2.219e+04,2.227e+04
24.8,4.350e+01,4.008e+01,2.668e+04,2.677e+04
26.2,3.569e+01,4.873e+01,3.150e+04,3.158e+04
27.7,4.039e+01,6.967e+01,3.802e+04,3.813e+04
29.2,4.998e+01,9.319e+01,4.633e+04,4.647e+04
30.6,7.163e+01,1.217e+02,5.602e+04,5.621e+04
32.1,8.790e+01,1.684e+02,6.850e+04,6.876e+04
33.5,1.034e+02,2.390e+02,8.347e+04,8.382e+04
35.0,1.411e+02,3.359e+02,1.004e+05,1.009e+05
36.5,1.844e+02,4.366e+02,1.178e+05,1.184e+05
37.9,2.215e+02,6.252e+02,1.428e+05,1.437e+05
39.4,1.631e+02,1.342e+03,1.756e+05,1.771e+05
40.8,1.291e+02,2.943e+03,2.234e+05,2.265e+05
42.3,4.135e+02,5.220e+03,2.910e+05,2.966e+05
43.7,1.461e+03,9.108e+03,3.715e+05,3.820e+05
45.2,5.523e+03,1.783e+04,5.010e+05,5.243e+05
46.7,1.332e+04,2.249e+04,6.919e+05,7.277e+05
48.1,1.500e+04,1.141e+04,9.659e+05,9.923e+05
49.6,1.300e+04,4.461e+03,1.409e+06,1.426e+06
51.0,2.018e+04,7.937e+03,2.327e+06,2.355e+06
52.5,3.582e+04,1.710e+04,3.360e+06,3.413e+06
54.0,3.888e+04,2.044e+04,3.779e+06,3.838e+06
55.4,3.436e+04,1.848e+04,3.346e+06,3.399e+06
56.9,2.476e+04,1.500e+04,2.578e+06,2.618e+06
58.3,1.899e+04,1.242e+04,1.923e+06,1.954e+06
59.8,1.589e+04,1.029e+04,1.454e+06,1.480e+06
