freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.213e+01,1.138e+02,3.437e+02,5.096e+02
1.5,2.297e+02,3.616e+02,4.141e+02,1.005e+03
3.0,2.496e+02,3.849e+02,2.926e+02,9.271e+02
4.5,2.382e+02,4.046e+02,5.184e+02,1.161e+03
6.0,2.455e+02,3.987e+02,1.352e+03,1.996e+03
7.5,2.799e+02,4.017e+02,2.118e+03,2.800e+03
9.0,2.968e+02,3.835e+02,2.997e+03,3.677e+03
10.5,2.989e+02,3.664e+02,4.087e+03,4.752e+03
12.0,2.945e+02,3.691e+02,5.436e+03,6.099e+03
13.5,2.721e+02,3.854e+02,7.327e+03,7.984e+03
15.0,2.645e+02,3.864e+02,9.863e+03,1.051e+04
16.5,2.925e+02,3.999e+02,1.322e+04,1.391e+04
18.0,2.801e+02,4.063e+02,1.725e+04,1.794e+04
19.5,3.350e+02,4.454e+02,1.983e+04,2.061e+04
21.0,3.375e+02,4.255e+02,1.998e+04,2.074e+04
22.5,3.321e+02,4.312e+02,1.993e+04,2.069e+04
24.0,3.472e+02,4.616e+02,2.455e+04,2.536e+04
25.5,3.719e+02,4.764e+02,3.364e+04,3.449e+04
27.0,4.421e+02,6.106e+02,4.342e+04,4.447e+04
28.5,5.281e+02,8.436e+02,5.146e+04,5.284e+04
30.0,5.860e+02,9.610e+02,6.039e+04,6.194e+04
31.5,6.422e+02,1.410e+03,7.970e+04,8.175e+04
33.0,7.509e+02,2.664e+03,1.114e+05,1.148e+05
34.5,8.949e+02,3.730e+03,1.515e+05,1.561e+05
36.0,9.873e+02,3.317e+03,2.019e+05,2.062e+05
37.5,2.733e+03,5.842e+03,3.258e+05,3.344e+05
39.0,1.323e+04,2.320e+04,5.935e+05,6.299e+05
40.5,2.624e+04,4.367e+04,7.123e+05,7.822e+05
42.0,2.707e+04,4.412e+04,5.510e+05,6.222e+05
43.5,2.178e+04,3.731e+04,3.435e+05,4.026e+05
45.0,1.544e+04,3.230e+04,1.935e+05,2.413e+05
46.5,1.152e+04,2.929e+04,1.087e+05,1.495e+05
48.0,1.088e+04,3.296e+04,6.356e+04,1.074e+05
49.5,1.088e+04,4.821e+04,3.633e+04,9.542e+04
51.0,9.611e+03,7.340e+04,2.304e+04,1.060e+05
52.5,8.188e+03,9.280e+04,2.301e+04,1.240e+05
54.0,7.672e+03,1.121e+05,3.862e+04,1.583e+05
55.5,6.834e+03,1.342e+05,7.093e+04,2.119e+05
57.0,6.287e+03,1.551e+05,1.216e+05,2.830e+05
58.5,6.448e+03,1.591e+05,1.784e+05,3.440e+05
60.0,5.529e+03,1.665e+05,2.680e+05,4.400e+05
61.5,3.464e+03,1.740e+05,3.650e+05,5.424e+05
63.0,2.616e+03,1.480e+05,3.581e+05,5.087e+05
64.5,1.900e+03,1.176e+05,3.152e+05,4.347e+05
66.0,1.387e+03,9.161e+04,2.737e+05,3.667e+05
67.5,1.008e+03,7.463e+04,2.431e+05,3.187e+05
69.0,8.934e+02,6.531e+04,2.260e+05,2.922e+05
70.5,1.389e+03,5.460e+04,2.212e+05,2.772e+05
72.0,2.076e+03,3.575e+04,2.507e+05,2.885e+05
73.5,2.468e+03,2.024e+04,2.708e+05,2.936e+05
75.0,2.482e+03,1.204e+04,2.605e+05,2.751e+05
76.5,2.153e+03,7.701e+03,2.389e+05,2.487e+05
78.0,1.898e+03,4.823e+03,2.112e+05,2.179e+05
79.6,1.787e+03,2.688e+03,1.852e+05,1.897e+05
81.1,2.242e+03,2.878e+03,1.730e+05,1.782e+05
82.6,2.818e+03,4.246e+03,1.619e+05,1.690e+05
84.1,2.555e+03,5.685e+03,1.447e+05,1.530e+05
85.6,1.744e+03,7.170e+03,1.265e+05,1.354e+05
87.1,1.136e+03,1.190e+04,1.108e+05,1.239e+05
88.6,1.272e+03,2.139e+04,1.119e+05,1.346e+05
90.1,1.171e+03,2.976e+04,1.329e+05,1.638e+05
91.6,8.133e+02,2.881e+04,1.426e+05,1.722e+05
93.1,1.111e+03,2.369e+04,1.380e+05,1.628e+05
94.6,2.302e+03,1.790e+04,1.238e+05,1.440e+05
96.1,4.096e+03,1.517e+04,1.161e+05,1.354e+05
97.6,4.577e+03,1.385e+04,1.178e+05,1.362e+05
99.1,3.329e+03,1.105e+04,1.057e+05,1.201e+05
100.6,2.120e+03,1.040e+04,1.103e+05,1.228e+05
102.1,1.922e+03,1.053e+04,1.152e+05,1.277e+05
103.6,2.502e+03,9.863e+03,1.061e+05,1.184e+05
105.1,4.025e+03,8.739e+03,9.711e+04,1.099e+05
106.6,4.746e+03,7.890e+03,1.005e+05,1.131e+05
108.1,4.406e+03,7.605e+03,1.003e+05,1.123e+05
109.6,4.553e+03,7.397e+03,9.654e+04,1.085e+05
111.1,4.866e+03,6.973e+03,9.184e+04,1.037e+05
112.6,5.443e+03,6.408e+03,8.255e+04,9.440e+04
114.1,6.210e+03,6.023e+03,7.671e+04,8.894e+04
115.6,7.163e+03,6.060e+03,7.532e+04,8.855e+04
117.1,8.428e+03,6.288e+03,7.471e+04,8.942e+04
118.6,8.440e+03,5.720e+03,7.070e+04,8.486e+04
120.1,9.623e+03,5.636e+03,6.811e+04,8.336e+04
121.6,1.156e+04,5.456e+03,6.639e+04,8.341e+04
123.1,1.376e+04,5.221e+03,6.405e+04,8.303e+04
124.6,1.600e+04,5.063e+03,6.136e+04,8.242e+04
126.1,1.943e+04,4.853e+03,5.826e+04,8.255e+04
127.6,2.230e+04,4.540e+03,5.514e+04,8.197e+04
129.1,2.464e+04,4.241e+03,5.118e+04,8.006e+04
130.6,2.745e+04,3.876e+03,4.413e+04,7.545e+04
132.1,2.635e+04,2.903e+03,3.126e+04,6.052e+04
133.6,1.413e+04,1.317e+03,1.025e+04,2.569e+04
135.1,9.725e+03,6.358e+02,1.797e+03,1.216e+04
136.6,1.066e+04,6.393e+02,1.540e+03,1.284e+04
138.1,1.104e+04,6.504e+02,1.495e+03,1.318e+04
139.6,1.071e+04,6.224e+02,1.415e+03,1.275e+04
141.1,9.396e+03,6.177e+02,1.362e+03,1.138e+04
142.6,8.486e+03,6.581e+02,1.790e+03,1.093e+04
144.1,7.025e+03,6.325e+02,2.233e+03,9.891e+03
145.6,5.754e+03,5.967e+02,2.093e+03,8.444e+03
147.1,4.451e+03,5.600e+02,1.788e+03,6.798e+03
148.6,2.466e+03,5.349e+02,1.473e+03,4.474e+03
150.1,1.379e+03,5.079e+02,1.374e+03,3.261e+03
151.6,9.767e+02,4.719e+02,1.367e+03,2.816e+03
153.1,7.023e+02,4.657e+02,1.517e+03,2.685e+03
154.6,6.910e+02,4.613e+02,1.724e+03,2.876e+03
156.1,8.414e+02,4.622e+02,1.867e+03,3.171e+03
157.6,1.176e+03,4.873e+02,1.997e+03,3.660e+03
159.1,1.470e+03,5.069e+02,2.230e+03,4.207e+03
160.6,1.710e+03,5.640e+02,2.358e+03,4.632e+03
162.1,1.609e+03,5.513e+02,2.292e+03,4.452e+03
163.6,1.215e+03,5.337e+02,2.075e+03,3.824e+03
165.1,1.180e+03,6.144e+02,2.375e+03,4.169e+03
166.6,1.639e+03,6.276e+02,2.851e+03,5.118e+03
168.1,2.163e+03,5.612e+02,3.095e+03,5.819e+03
169.6,2.562e+03,6.380e+02,3.264e+03,6.464e+03
171.1,2.989e+03,6.748e+02,3.304e+03,6.968e+03
172.6,3.854e+03,6.471e+02,3.144e+03,7.645e+03
174.1,4.859e+03,6.377e+02,2.847e+03,8.344e+03
175.6,6.544e+03,6.352e+02,2.551e+03,9.730e+03
177.1,7.331e+03,6.940e+02,2.306e+03,1.033e+04
178.6,7.241e+03,6.261e+02,2.037e+03,9.904e+03
180.1,7.508e+03,6.108e+02,1.820e+03,9.939e+03
181.6,7.409e+03,6.064e+02,1.607e+03,9.623e+03
183.1,8.201e+03,6.465e+02,1.350e+03,1.020e+04
184.6,9.871e+03,6.707e+02,1.261e+03,1.180e+04
186.1,9.809e+03,5.742e+02,1.402e+03,1.179e+04
187.6,7.308e+03,4.837e+02,1.684e+03,9.475e+03
189.1,6.709e+03,4.609e+02,2.298e+03,9.468e+03
190.6,6.470e+03,4.283e+02,2.469e+03,9.368e+03
192.1,4.976e+03,3.723e+02,2.676e+03,8.024e+03
193.6,3.913e+03,3.464e+02,3.234e+03,7.494e+03
195.1,3.341e+03,3.890e+02,3.861e+03,7.590e+03
196.6,3.633e+03,3.946e+02,4.561e+03,8.588e+03
198.1,3.926e+03,3.901e+02,4.084e+03,8.401e+03
199.6,3.681e+03,4.164e+02,3.263e+03,7.361e+03
