freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.046e+02,2.768e+01,4.255e+01,4.748e+02
1.6,2.451e+02,3.413e+01,4.823e+01,3.275e+02
3.1,2.911e+01,2.343e+01,3.258e+01,8.512e+01
4.7,3.512e+02,2.257e+01,3.259e+01,4.064e+02
6.3,1.219e+03,2.484e+01,3.599e+01,1.279e+03
7.8,1.991e+03,2.508e+01,3.900e+01,2.055e+03
9.4,2.908e+03,2.556e+01,3.779e+01,2.971e+03
10.9,4.027e+03,2.863e+01,3.657e+01,4.092e+03
12.5,5.291e+03,3.012e+01,3.802e+01,5.359e+03
14.1,6.846e+03,3.235e+01,3.890e+01,6.918e+03
15.6,8.944e+03,3.495e+01,4.049e+01,9.019e+03
17.2,1.135e+04,3.790e+01,3.994e+01,1.142e+04
18.8,1.221e+04,3.578e+01,4.345e+01,1.229e+04
20.3,1.300e+04,3.923e+01,4.508e+01,1.308e+04
21.9,1.550e+04,4.434e+01,4.147e+01,1.559e+04
23.4,1.874e+04,4.822e+01,4.215e+01,1.883e+04
25.0,2.260e+04,5.506e+01,4.347e+01,2.270e+04
26.6,2.741e+04,5.984e+01,4.072e+01,2.751e+04
28.1,3.281e+04,6.741e+01,4.277e+01,3.292e+04
29.7,3.871e+04,7.043e+01,5.200e+01,3.883e+04
31.3,4.584e+04,7.075e+01,5.813e+01,4.597e+04
32.8,5.353e+04,7.981e+01,6.529e+01,5.368e+04
34.4,6.274e+04,1.033e+02,1.233e+02,6.296e+04
36.0,7.439e+04,1.639e+02,2.700e+02,7.483e+04
37.5,8.933e+04,2.331e+02,4.921e+02,9.006e+04
39.1,1.056e+05,2.324e+02,7.420e+02,1.066e+05
40.6,1.258e+05,1.340e+02,1.078e+03,1.270e+05
42.2,1.498e+05,6.652e+01,1.629e+03,1.515e+05
43.8,1.841e+05,1.511e+02,3.515e+03,1.877e+05
45.3,2.386e+05,9.057e+02,1.570e+04,2.552e+05
46.9,3.185e+05,3.579e+03,5.055e+04,3.727e+05
48.5,4.255e+05,6.811e+03,8.235e+04,5.147e+05
50.0,5.911e+05,9.766e+03,9.582e+04,6.967e+05
51.6,7.852e+05,1.850e+04,1.425e+05,9.462e+05
53.1,9.437e+05,2.359e+04,1.645e+05,1.132e+06
54.7,9.810e+05,2.363e+04,1.523e+05,1.157e+06
56.3,9.443e+05,2.228e+04,1.331e+05,1.100e+06
57.8,8.863e+05,1.855e+04,1.069e+05,1.012e+06
59.4,8.095e+05,1.280e+04,8.067e+04,9.030e+05
61.0,7.145e+05,6.927e+03,5.657e+04,7.780e+05
62.5,5.881e+05,2.973e+03,3.795e+04,6.291e+05
64.1,4.531e+05,1.203e+03,2.545e+04,4.798e+05
65.7,3.265e+05,1.462e+03,1.634e+04,3.443e+05
67.2,2.162e+05,3.052e+03,8.390e+03,2.276e+05
68.8,1.417e+05,5.263e+03,3.569e+03,1.505e+05
70.3,9.818e+04,7.098e+03,1.999e+03,1.073e+05
71.9,6.572e+04,1.166e+04,2.477e+03,7.985e+04
73.5,5.685e+04,2.111e+04,5.955e+03,8.391e+04
75.0,7.934e+04,2.645e+04,1.107e+04,1.169e+05
76.6,1.366e+05,2.597e+04,1.505e+04,1.777e+05
78.2,1.982e+05,2.397e+04,1.669e+04,2.388e+05
79.7,2.342e+05,2.697e+04,1.793e+04,2.791e+05
81.3,2.328e+05,2.863e+04,1.690e+04,2.783e+05
82.8,2.125e+05,3.670e+04,1.683e+04,2.661e+05
84.4,1.851e+05,4.171e+04,1.616e+04,2.430e+05
86.0,1.685e+05,4.014e+04,1.518e+04,2.238e+05
87.5,1.769e+05,4.054e+04,1.596e+04,2.334e+05
89.1,1.666e+05,3.969e+04,1.450e+04,2.208e+05
90.7,1.612e+05,3.620e+04,1.319e+04,2.106e+05
92.2,1.538e+05,3.228e+04,1.129e+04,1.974e+05
93.8,1.480e+05,4.314e+04,1.019e+04,2.013e+05
95.4,1.557e+05,5.836e+04,1.139e+04,2.254e+05
96.9,1.438e+05,5.209e+04,1.029e+04,2.061e+05
98.5,1.318e+05,4.098e+04,8.065e+03,1.809e+05
100.0,1.171e+05,3.764e+04,6.238e+03,1.610e+05
101.6,9.903e+04,4.098e+04,5.398e+03,1.454e+05
103.2,8.238e+04,4.215e+04,5.483e+03,1.300e+05
104.7,6.902e+04,4.357e+04,5.628e+03,1.182e+05
106.3,6.141e+04,4.952e+04,6.731e+03,1.177e+05
107.9,5.421e+04,4.897e+04,7.649e+03,1.108e+05
109.4,4.618e+04,4.145e+04,8.445e+03,9.608e+04
111.0,4.032e+04,3.137e+04,8.785e+03,8.048e+04
112.5,3.436e+04,2.590e+04,8.749e+03,6.902e+04
114.1,2.885e+04,2.313e+04,9.469e+03,6.145e+04
115.7,2.494e+04,2.205e+04,9.875e+03,5.687e+04
117.2,2.133e+04,2.199e+04,1.017e+04,5.349e+04
118.8,1.695e+04,1.603e+04,1.011e+04,4.309e+04
120.4,1.344e+04,1.187e+04,9.740e+03,3.506e+04
