freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.898e+01,3.833e+02,3.892e+02,7.915e+02
1.6,2.460e+01,2.256e+02,2.414e+02,4.916e+02
3.1,1.623e+01,1.835e+01,4.254e+01,7.712e+01
4.7,1.604e+01,2.130e+01,3.692e+02,4.065e+02
6.3,1.609e+01,2.156e+01,1.277e+03,1.314e+03
7.8,1.590e+01,2.097e+01,2.158e+03,2.195e+03
9.4,1.756e+01,2.107e+01,3.179e+03,3.218e+03
10.9,1.638e+01,2.351e+01,4.521e+03,4.561e+03
12.5,1.564e+01,2.469e+01,6.864e+03,6.904e+03
14.1,1.624e+01,3.699e+01,1.059e+04,1.065e+04
15.6,3.464e+01,5.955e+01,1.445e+04,1.454e+04
17.2,1.147e+02,9.997e+01,1.721e+04,1.743e+04
18.8,1.741e+02,1.589e+02,1.937e+04,1.970e+04
20.3,1.076e+02,2.266e+02,1.924e+04,1.957e+04
21.9,4.068e+01,3.387e+02,2.318e+04,2.356e+04
23.5,2.248e+01,5.048e+02,3.100e+04,3.153e+04
25.0,1.830e+01,5.824e+02,4.007e+04,4.068e+04
26.6,1.799e+01,6.971e+02,5.363e+04,5.435e+04
28.2,2.459e+01,1.349e+03,7.171e+04,7.309e+04
29.7,2.614e+01,2.565e+03,8.806e+04,9.065e+04
31.3,2.003e+01,4.307e+03,1.190e+05,1.233e+05
32.8,3.885e+01,9.818e+03,1.889e+05,1.988e+05
34.4,5.718e+02,2.852e+04,3.113e+05,3.404e+05
36.0,2.842e+03,7.585e+04,4.794e+05,5.581e+05
37.5,4.293e+03,2.399e+05,6.894e+05,9.336e+05
39.1,4.991e+03,5.283e+05,7.319e+05,1.265e+06
40.7,6.480e+03,7.081e+05,6.345e+05,1.349e+06
42.2,7.570e+03,7.499e+05,5.652e+05,1.323e+06
43.8,8.964e+03,7.867e+05,5.111e+05,1.307e+06
45.4,1.029e+04,7.675e+05,4.292e+05,1.207e+06
46.9,1.118e+04,6.752e+05,3.513e+05,1.038e+06
48.5,1.157e+04,6.272e+05,2.934e+05,9.322e+05
50.0,1.123e+04,6.301e+05,2.507e+05,8.921e+05
