freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.667e+01,1.062e+01,6.685e+02,7.058e+02
1.5,9.784e+01,5.023e+01,4.043e+02,5.523e+02
3.0,1.489e+02,6.518e+01,6.906e+01,2.832e+02
4.5,1.443e+02,6.398e+01,2.961e+02,5.044e+02
6.0,1.292e+02,6.201e+01,1.132e+03,1.323e+03
7.5,1.194e+02,6.919e+01,1.954e+03,2.142e+03
9.0,1.091e+02,6.934e+01,2.816e+03,2.995e+03
10.4,1.026e+02,5.947e+01,3.908e+03,4.070e+03
11.9,1.059e+02,5.757e+01,5.197e+03,5.360e+03
13.4,1.215e+02,5.735e+01,6.755e+03,6.934e+03
14.9,1.259e+02,6.937e+01,9.147e+03,9.342e+03
16.4,1.171e+02,8.894e+01,1.153e+04,1.174e+04
17.9,1.233e+02,1.280e+02,1.149e+04,1.174e+04
19.4,1.286e+02,1.025e+02,1.294e+04,1.317e+04
20.9,1.208e+02,7.483e+01,1.617e+04,1.636e+04
22.4,1.261e+02,9.167e+01,2.002e+04,2.023e+04
23.9,1.409e+02,7.183e+01,2.411e+04,2.432e+04
25.4,1.471e+02,6.792e+01,2.932e+04,2.954e+04
26.9,1.409e+02,5.518e+01,3.574e+04,3.594e+04
28.4,1.237e+02,7.883e+01,4.395e+04,4.415e+04
29.9,1.557e+02,1.234e+02,5.404e+04,5.432e+04
31.3,1.968e+02,1.769e+02,6.621e+04,6.659e+04
32.8,1.844e+02,2.441e+02,8.080e+04,8.123e+04
34.3,1.457e+02,3.676e+02,9.924e+04,9.975e+04
35.8,1.796e+02,5.235e+02,1.211e+05,1.218e+05
37.3,3.353e+02,6.388e+02,1.472e+05,1.482e+05
38.8,6.496e+02,6.903e+02,1.751e+05,1.765e+05
40.3,9.427e+02,7.579e+02,2.159e+05,2.176e+05
41.8,1.258e+03,1.290e+03,2.813e+05,2.839e+05
43.3,1.649e+03,2.317e+03,3.692e+05,3.732e+05
44.8,2.826e+03,7.622e+03,4.999e+05,5.103e+05
46.3,5.240e+03,1.113e+04,7.165e+05,7.329e+05
47.8,6.184e+03,6.676e+03,1.109e+06,1.122e+06
49.3,9.926e+03,4.045e+03,1.759e+06,1.773e+06
50.7,1.712e+04,3.539e+03,2.259e+06,2.280e+06
52.2,2.712e+04,1.650e+03,2.343e+06,2.372e+06
53.7,3.882e+04,5.858e+02,2.314e+06,2.353e+06
55.2,4.867e+04,9.225e+02,2.238e+06,2.287e+06
56.7,5.491e+04,2.061e+03,2.017e+06,2.074e+06
58.2,4.919e+04,2.057e+03,1.639e+06,1.691e+06
59.7,3.984e+04,9.549e+02,1.301e+06,1.342e+06
61.2,3.158e+04,5.211e+02,9.942e+05,1.026e+06
62.7,2.354e+04,4.927e+02,7.485e+05,7.726e+05
64.2,1.721e+04,6.023e+02,5.375e+05,5.553e+05
65.7,1.266e+04,7.188e+02,3.688e+05,3.822e+05
67.2,9.940e+03,6.358e+02,2.688e+05,2.793e+05
68.7,8.470e+03,4.504e+02,2.222e+05,2.311e+05
70.1,6.486e+03,3.789e+02,1.618e+05,1.687e+05
71.6,5.067e+03,3.647e+02,1.046e+05,1.101e+05
73.1,4.530e+03,4.601e+02,6.747e+04,7.246e+04
