freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.436e+01,5.486e+02,3.858e+02,9.488e+02
1.6,2.292e+01,3.241e+02,2.368e+02,5.839e+02
3.1,1.903e+01,2.959e+01,4.039e+01,8.901e+01
4.7,1.780e+01,2.981e+01,3.859e+02,4.335e+02
6.2,1.735e+01,2.860e+01,1.342e+03,1.387e+03
7.8,1.871e+01,3.044e+01,2.200e+03,2.249e+03
9.3,1.883e+01,3.312e+01,3.268e+03,3.320e+03
10.9,1.810e+01,2.983e+01,4.798e+03,4.846e+03
12.4,1.743e+01,4.093e+01,7.213e+03,7.272e+03
14.0,1.864e+01,5.579e+01,1.063e+04,1.071e+04
15.5,2.261e+01,5.917e+01,1.421e+04,1.429e+04
17.1,3.719e+01,7.686e+01,1.781e+04,1.792e+04
18.6,3.523e+01,1.190e+02,1.876e+04,1.891e+04
20.2,2.438e+01,2.029e+02,1.918e+04,1.941e+04
21.7,1.814e+01,3.401e+02,2.359e+04,2.395e+04
23.3,1.735e+01,5.079e+02,3.125e+04,3.178e+04
24.9,1.812e+01,8.138e+02,4.291e+04,4.374e+04
26.4,2.022e+01,1.720e+03,6.126e+04,6.300e+04
28.0,2.466e+01,3.277e+03,8.144e+04,8.474e+04
29.5,2.587e+01,5.613e+03,1.005e+05,1.061e+05
31.1,4.103e+01,1.147e+04,1.429e+05,1.544e+05
32.6,9.078e+01,2.192e+04,2.163e+05,2.384e+05
34.2,3.811e+02,5.225e+04,3.611e+05,4.138e+05
35.7,1.580e+03,1.472e+05,5.945e+05,7.433e+05
37.3,3.410e+03,3.446e+05,7.990e+05,1.147e+06
38.8,6.451e+03,5.789e+05,8.558e+05,1.441e+06
40.4,1.030e+04,7.751e+05,7.856e+05,1.571e+06
41.9,1.198e+04,8.487e+05,6.562e+05,1.517e+06
43.5,1.236e+04,9.220e+05,5.664e+05,1.501e+06
45.0,1.397e+04,9.736e+05,4.803e+05,1.468e+06
46.6,1.540e+04,1.032e+06,4.002e+05,1.447e+06
48.2,1.688e+04,1.136e+06,3.215e+05,1.474e+06
49.7,1.621e+04,1.136e+06,2.519e+05,1.404e+06
51.3,1.410e+04,1.014e+06,2.011e+05,1.229e+06
52.8,1.081e+04,8.479e+05,1.602e+05,1.019e+06
54.4,8.480e+03,6.971e+05,1.299e+05,8.355e+05
55.9,6.504e+03,5.740e+05,1.129e+05,6.934e+05
57.5,5.108e+03,5.260e+05,9.964e+04,6.308e+05
59.0,4.757e+03,4.816e+05,7.953e+04,5.658e+05
60.6,5.203e+03,4.145e+05,6.277e+04,4.825e+05
62.1,6.650e+03,3.406e+05,5.509e+04,4.024e+05
63.7,8.750e+03,2.724e+05,4.983e+04,3.310e+05
65.2,1.011e+04,2.315e+05,4.134e+04,2.830e+05
66.8,1.036e+04,2.093e+05,3.422e+04,2.539e+05
68.3,8.351e+03,1.895e+05,2.950e+04,2.274e+05
69.9,6.720e+03,1.883e+05,2.538e+04,2.204e+05
71.5,2.958e+03,2.212e+05,2.200e+04,2.462e+05
73.0,2.344e+03,2.570e+05,1.997e+04,2.793e+05
74.6,3.077e+03,2.650e+05,2.035e+04,2.884e+05
76.1,3.050e+03,2.480e+05,2.068e+04,2.717e+05
77.7,2.966e+03,2.282e+05,2.091e+04,2.521e+05
79.2,3.387e+03,2.123e+05,2.223e+04,2.380e+05
80.8,3.557e+03,1.993e+05,2.377e+04,2.267e+05
82.3,3.288e+03,1.915e+05,2.358e+04,2.184e+05
83.9,5.164e+03,1.813e+05,2.237e+04,2.089e+05
85.4,1.243e+04,1.733e+05,2.149e+04,2.072e+05
87.0,1.144e+04,1.777e+05,2.059e+04,2.098e+05
88.5,4.879e+03,1.704e+05,1.966e+04,1.949e+05
90.1,5.679e+03,1.617e+05,1.812e+04,1.855e+05
91.7,3.532e+03,1.371e+05,1.310e+04,1.537e+05
93.2,3.246e+03,1.123e+05,8.266e+03,1.238e+05
94.8,4.670e+03,9.358e+04,6.331e+03,1.046e+05
96.3,6.724e+03,7.569e+04,5.502e+03,8.791e+04
97.9,9.468e+03,6.264e+04,5.127e+03,7.723e+04
99.4,1.347e+04,5.899e+04,5.230e+03,7.769e+04
101.0,1.675e+04,6.418e+04,5.135e+03,8.607e+04
102.5,2.256e+04,7.704e+04,5.253e+03,1.049e+05
104.1,3.210e+04,9.603e+04,6.225e+03,1.344e+05
105.6,3.970e+04,1.090e+05,7.013e+03,1.557e+05
107.2,4.169e+04,1.097e+05,7.373e+03,1.587e+05
108.7,4.087e+04,1.032e+05,7.352e+03,1.514e+05
110.3,3.898e+04,9.652e+04,7.681e+03,1.432e+05
111.8,3.518e+04,9.014e+04,8.614e+03,1.339e+05
113.4,3.259e+04,8.397e+04,9.263e+03,1.258e+05
115.0,3.573e+04,8.035e+04,9.703e+03,1.258e+05
116.5,4.114e+04,7.859e+04,9.990e+03,1.297e+05
118.1,4.717e+04,7.881e+04,1.035e+04,1.363e+05
119.6,5.303e+04,8.084e+04,1.056e+04,1.444e+05
121.2,5.773e+04,8.417e+04,1.034e+04,1.522e+05
122.7,6.135e+04,8.689e+04,1.000e+04,1.582e+05
124.3,6.330e+04,8.772e+04,9.950e+03,1.610e+05
125.8,6.394e+04,8.849e+04,1.045e+04,1.629e+05
127.4,6.383e+04,9.065e+04,1.043e+04,1.649e+05
128.9,6.246e+04,9.766e+04,1.038e+04,1.705e+05
130.5,6.030e+04,1.020e+05,1.059e+04,1.729e+05
132.0,4.645e+04,9.604e+04,9.279e+03,1.518e+05
133.6,1.945e+04,7.754e+04,5.278e+03,1.023e+05
135.1,7.408e+03,6.733e+04,3.259e+03,7.800e+04
136.7,4.208e+03,6.713e+04,3.171e+03,7.451e+04
138.3,2.954e+03,6.520e+04,2.720e+03,7.088e+04
139.8,2.379e+03,6.216e+04,2.120e+03,6.666e+04
141.4,2.215e+03,5.760e+04,1.703e+03,6.152e+04
142.9,2.196e+03,5.274e+04,1.460e+03,5.640e+04
144.5,2.017e+03,4.782e+04,1.529e+03,5.137e+04
146.0,1.947e+03,4.348e+04,1.636e+03,4.706e+04
147.6,1.808e+03,3.857e+04,1.471e+03,4.185e+04
149.1,1.443e+03,3.461e+04,1.396e+03,3.745e+04
150.7,1.048e+03,3.128e+04,1.231e+03,3.356e+04
152.2,9.673e+02,2.771e+04,1.072e+03,2.975e+04
153.8,9.577e+02,2.339e+04,9.412e+02,2.529e+04
155.3,1.307e+03,2.014e+04,1.034e+03,2.248e+04
156.9,1.720e+03,1.813e+04,1.250e+03,2.110e+04
158.4,1.661e+03,1.722e+04,1.292e+03,2.017e+04
160.0,1.386e+03,1.705e+04,1.209e+03,1.965e+04
161.6,1.326e+03,1.675e+04,1.165e+03,1.924e+04
163.1,1.512e+03,1.585e+04,1.225e+03,1.859e+04
164.7,1.991e+03,1.519e+04,1.280e+03,1.846e+04
166.2,2.093e+03,1.439e+04,1.177e+03,1.766e+04
167.8,1.906e+03,1.353e+04,1.127e+03,1.656e+04
169.3,1.974e+03,1.261e+04,1.341e+03,1.592e+04
170.9,1.570e+03,1.249e+04,1.473e+03,1.553e+04
172.4,9.609e+02,1.387e+04,1.711e+03,1.654e+04
174.0,9.237e+02,1.341e+04,2.422e+03,1.675e+04
175.5,9.267e+02,1.173e+04,3.423e+03,1.608e+04
177.1,9.136e+02,1.227e+04,3.784e+03,1.696e+04
178.6,7.535e+02,1.260e+04,3.914e+03,1.726e+04
180.2,7.119e+02,1.238e+04,4.116e+03,1.721e+04
181.7,6.832e+02,1.257e+04,4.257e+03,1.751e+04
183.3,7.847e+02,1.229e+04,4.736e+03,1.781e+04
