freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.489e+01,5.864e+01,5.321e+02,6.057e+02
1.6,1.942e+01,4.656e+01,3.141e+02,3.801e+02
3.1,1.430e+01,1.649e+01,3.797e+01,6.877e+01
4.7,1.542e+01,1.827e+01,3.783e+02,4.120e+02
6.2,1.523e+01,1.972e+01,1.344e+03,1.379e+03
7.8,1.486e+01,2.186e+01,2.284e+03,2.321e+03
9.3,1.410e+01,2.517e+01,3.451e+03,3.491e+03
10.9,1.526e+01,3.301e+01,5.278e+03,5.326e+03
12.5,1.711e+01,4.887e+01,7.922e+03,7.988e+03
14.0,4.887e+01,8.898e+01,1.224e+04,1.238e+04
15.6,2.591e+02,1.153e+02,1.565e+04,1.602e+04
17.1,2.640e+02,5.771e+01,1.166e+04,1.198e+04
18.7,6.945e+01,7.069e+01,1.454e+04,1.468e+04
20.2,3.521e+01,1.144e+02,2.086e+04,2.101e+04
21.8,4.655e+01,2.183e+02,3.044e+04,3.070e+04
23.4,5.863e+01,3.947e+02,4.524e+04,4.570e+04
24.9,3.260e+01,7.789e+02,6.798e+04,6.879e+04
26.5,2.072e+01,1.722e+03,1.093e+05,1.110e+05
28.0,2.756e+01,3.331e+03,1.717e+05,1.750e+05
29.6,5.658e+01,5.935e+03,2.621e+05,2.681e+05
31.1,2.108e+02,1.164e+04,4.470e+05,4.588e+05
32.7,4.743e+02,1.321e+04,5.085e+05,5.222e+05
34.3,6.207e+02,8.085e+03,3.968e+05,4.055e+05
35.8,1.094e+03,1.458e+04,5.282e+05,5.438e+05
37.4,1.799e+03,4.997e+04,1.042e+06,1.093e+06
38.9,1.774e+03,7.876e+04,1.316e+06,1.397e+06
40.5,1.167e+03,6.356e+04,9.221e+05,9.869e+05
42.0,8.397e+02,4.004e+04,4.954e+05,5.362e+05
43.6,5.228e+02,2.731e+04,2.961e+05,3.240e+05
45.2,6.197e+02,2.199e+04,2.316e+05,2.542e+05
46.7,1.523e+03,2.275e+04,2.402e+05,2.645e+05
48.3,1.135e+03,2.806e+04,2.732e+05,3.024e+05
49.8,6.461e+02,3.633e+04,3.073e+05,3.443e+05
51.4,1.078e+03,4.151e+04,3.413e+05,3.839e+05
52.9,1.372e+03,3.749e+04,2.986e+05,3.375e+05
54.5,1.540e+03,3.119e+04,2.156e+05,2.483e+05
56.0,4.686e+03,3.807e+04,2.050e+05,2.478e+05
57.6,5.261e+03,3.163e+04,1.333e+05,1.702e+05
59.2,1.548e+03,1.600e+04,5.322e+04,7.077e+04
60.7,2.224e+03,1.146e+04,2.279e+04,3.648e+04
62.3,4.272e+03,1.377e+04,1.615e+04,3.419e+04
63.8,3.181e+03,1.691e+04,1.509e+04,3.518e+04
65.4,2.638e+03,1.694e+04,1.551e+04,3.509e+04
66.9,3.714e+03,1.556e+04,2.124e+04,4.051e+04
68.5,3.149e+03,2.477e+04,3.404e+04,6.196e+04
70.1,3.175e+03,3.844e+04,4.274e+04,8.435e+04
71.6,4.871e+03,4.174e+04,3.262e+04,7.924e+04
73.2,5.776e+03,4.482e+04,1.984e+04,7.044e+04
74.7,5.222e+03,6.050e+04,1.488e+04,8.061e+04
76.3,7.165e+03,9.284e+04,1.382e+04,1.138e+05
77.8,8.617e+03,1.257e+05,1.284e+04,1.472e+05
79.4,9.132e+03,1.269e+05,1.027e+04,1.463e+05
81.0,1.067e+04,1.103e+05,7.874e+03,1.289e+05
82.5,1.140e+04,9.682e+04,6.785e+03,1.150e+05
84.1,9.502e+03,7.624e+04,6.965e+03,9.271e+04
85.6,9.194e+03,5.640e+04,7.840e+03,7.343e+04
87.2,1.091e+04,4.140e+04,7.229e+03,5.954e+04
88.7,1.719e+04,4.955e+04,5.607e+03,7.235e+04
90.3,1.905e+04,4.909e+04,6.125e+03,7.426e+04
91.9,1.139e+04,2.294e+04,5.243e+03,3.957e+04
93.4,9.944e+03,2.984e+04,4.224e+03,4.401e+04
95.0,2.057e+04,9.064e+04,4.700e+03,1.159e+05
96.5,3.262e+04,1.489e+05,1.041e+04,1.919e+05
98.1,3.914e+04,1.469e+05,1.987e+04,2.059e+05
99.6,4.918e+04,1.356e+05,3.039e+04,2.152e+05
101.2,5.440e+04,1.271e+05,3.827e+04,2.198e+05
102.8,5.408e+04,1.095e+05,4.198e+04,2.055e+05
104.3,5.662e+04,9.136e+04,4.495e+04,1.929e+05
105.9,6.192e+04,7.855e+04,4.828e+04,1.887e+05
107.4,6.581e+04,6.922e+04,4.985e+04,1.849e+05
109.0,6.651e+04,6.323e+04,4.853e+04,1.783e+05
110.5,6.350e+04,5.823e+04,4.414e+04,1.659e+05
112.1,5.907e+04,5.010e+04,3.841e+04,1.476e+05
113.7,5.468e+04,4.102e+04,3.308e+04,1.288e+05
115.2,6.755e+04,3.994e+04,3.422e+04,1.417e+05
116.8,5.258e+04,2.822e+04,2.621e+04,1.070e+05
118.3,3.867e+04,1.895e+04,1.982e+04,7.743e+04
119.9,4.213e+04,1.694e+04,1.959e+04,7.866e+04
121.4,5.099e+04,1.520e+04,1.978e+04,8.597e+04
123.0,5.482e+04,1.155e+04,1.732e+04,8.369e+04
124.6,5.208e+04,7.847e+03,1.322e+04,7.315e+04
126.1,4.671e+04,6.660e+03,9.504e+03,6.288e+04
127.7,4.033e+04,8.499e+03,6.407e+03,5.524e+04
129.2,3.705e+04,1.275e+04,4.419e+03,5.422e+04
130.8,3.444e+04,1.675e+04,3.296e+03,5.448e+04
132.3,2.426e+04,1.455e+04,2.163e+03,4.098e+04
133.9,6.099e+03,4.011e+03,6.151e+02,1.073e+04
135.5,1.250e+03,5.934e+02,3.498e+02,2.193e+03
137.0,6.473e+02,9.520e+02,5.543e+02,2.154e+03
138.6,4.516e+02,2.595e+03,7.736e+02,3.820e+03
140.1,6.395e+02,4.814e+03,9.435e+02,6.397e+03
141.7,7.837e+02,5.631e+03,9.215e+02,7.336e+03
143.2,8.138e+02,4.859e+03,7.678e+02,6.441e+03
144.8,1.034e+03,4.934e+03,9.587e+02,6.927e+03
146.4,1.063e+03,4.467e+03,1.047e+03,6.577e+03
147.9,8.645e+02,3.342e+03,8.851e+02,5.092e+03
149.5,6.305e+02,2.558e+03,6.478e+02,3.836e+03
151.0,4.519e+02,1.971e+03,4.914e+02,2.915e+03
152.6,3.479e+02,1.367e+03,4.736e+02,2.188e+03
154.1,2.486e+02,9.130e+02,5.730e+02,1.735e+03
155.7,2.806e+02,6.914e+02,6.830e+02,1.655e+03
157.3,2.757e+02,4.590e+02,7.167e+02,1.451e+03
158.8,2.101e+02,3.412e+02,8.436e+02,1.395e+03
160.4,1.576e+02,3.583e+02,1.006e+03,1.522e+03
161.9,1.070e+02,3.234e+02,8.668e+02,1.297e+03
163.5,1.032e+02,2.813e+02,7.614e+02,1.146e+03
165.0,9.736e+01,1.918e+02,7.657e+02,1.055e+03
166.6,9.754e+01,1.427e+02,7.254e+02,9.657e+02
168.1,1.951e+02,1.926e+02,6.232e+02,1.011e+03
169.7,2.526e+02,2.685e+02,4.536e+02,9.747e+02
171.3,1.866e+02,2.542e+02,4.136e+02,8.543e+02
