freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.983e+00,7.883e+01,1.042e+03,1.131e+03
1.6,1.836e+01,5.766e+01,6.116e+02,6.877e+02
3.1,1.655e+01,1.888e+01,4.796e+01,8.339e+01
4.7,1.724e+01,1.947e+01,3.988e+02,4.355e+02
6.2,1.816e+01,1.991e+01,1.322e+03,1.360e+03
7.8,1.849e+01,2.124e+01,2.214e+03,2.254e+03
9.4,1.916e+01,2.104e+01,3.295e+03,3.336e+03
10.9,1.903e+01,1.999e+01,4.741e+03,4.780e+03
12.5,1.896e+01,2.024e+01,6.642e+03,6.681e+03
14.0,1.948e+01,2.385e+01,9.474e+03,9.517e+03
15.6,2.206e+01,3.078e+01,1.335e+04,1.340e+04
17.2,3.632e+01,3.840e+01,1.784e+04,1.792e+04
18.7,4.864e+01,6.196e+01,2.246e+04,2.257e+04
20.3,2.791e+01,7.645e+01,2.207e+04,2.218e+04
21.9,2.027e+01,5.315e+01,2.127e+04,2.134e+04
23.4,2.206e+01,3.336e+01,2.676e+04,2.682e+04
25.0,2.380e+01,2.411e+01,3.696e+04,3.701e+04
26.5,2.485e+01,2.562e+01,5.201e+04,5.206e+04
28.1,2.754e+01,3.397e+01,7.355e+04,7.361e+04
29.7,3.147e+01,4.085e+01,9.533e+04,9.541e+04
31.2,3.899e+01,1.003e+02,1.230e+05,1.231e+05
32.8,9.978e+01,6.695e+02,1.727e+05,1.734e+05
34.3,2.486e+02,3.088e+03,2.451e+05,2.484e+05
35.9,4.225e+02,8.729e+03,3.860e+05,3.951e+05
37.5,6.200e+02,2.188e+04,7.924e+05,8.149e+05
39.0,1.310e+03,6.678e+04,1.987e+06,2.055e+06
40.6,2.254e+03,1.429e+05,3.612e+06,3.757e+06
42.1,1.614e+03,1.490e+05,3.478e+06,3.628e+06
43.7,1.043e+03,1.161e+05,2.515e+06,2.632e+06
45.3,2.431e+03,9.519e+04,1.856e+06,1.953e+06
46.8,3.619e+03,8.210e+04,1.418e+06,1.504e+06
48.4,3.501e+03,7.346e+04,1.149e+06,1.226e+06
49.9,2.871e+03,6.705e+04,9.094e+05,9.793e+05
51.5,2.184e+03,6.162e+04,6.989e+05,7.627e+05
53.1,1.767e+03,5.071e+04,5.266e+05,5.791e+05
54.6,2.686e+03,5.192e+04,4.361e+05,4.907e+05
56.2,1.184e+04,6.732e+04,4.112e+05,4.904e+05
57.8,3.537e+04,7.410e+04,3.610e+05,4.705e+05
59.3,4.889e+04,6.237e+04,2.698e+05,3.811e+05
60.9,3.702e+04,4.454e+04,1.825e+05,2.641e+05
62.4,1.900e+04,2.905e+04,1.154e+05,1.635e+05
64.0,9.573e+03,2.125e+04,7.760e+04,1.084e+05
65.6,6.876e+03,1.898e+04,5.951e+04,8.537e+04
67.1,5.021e+03,1.722e+04,4.512e+04,6.736e+04
68.7,3.472e+03,1.637e+04,3.214e+04,5.198e+04
70.2,3.397e+03,1.815e+04,2.483e+04,4.638e+04
71.8,3.172e+03,2.395e+04,2.315e+04,5.027e+04
73.4,2.680e+03,3.840e+04,2.620e+04,6.728e+04
74.9,2.963e+03,7.125e+04,3.571e+04,1.099e+05
76.5,4.716e+03,1.172e+05,4.852e+04,1.704e+05
78.0,6.936e+03,1.435e+05,4.971e+04,2.001e+05
79.6,8.716e+03,1.581e+05,4.224e+04,2.091e+05
81.2,9.243e+03,1.583e+05,3.073e+04,1.983e+05
82.7,1.045e+04,1.427e+05,2.013e+04,1.733e+05
84.3,1.064e+04,1.199e+05,1.218e+04,1.427e+05
85.8,1.193e+04,9.692e+04,6.624e+03,1.155e+05
87.4,1.106e+04,7.837e+04,2.863e+03,9.230e+04
89.0,7.967e+03,6.096e+04,1.737e+03,7.067e+04
90.5,5.051e+03,4.128e+04,2.671e+03,4.900e+04
92.1,2.312e+03,2.515e+04,4.232e+03,3.169e+04
93.7,2.088e+03,2.372e+04,7.185e+03,3.300e+04
95.2,3.405e+03,2.620e+04,1.140e+04,4.101e+04
96.8,2.950e+03,3.495e+04,1.458e+04,5.248e+04
98.3,3.229e+03,4.725e+04,1.614e+04,6.663e+04
99.9,3.794e+03,6.958e+04,1.684e+04,9.022e+04
101.5,4.804e+03,9.242e+04,1.706e+04,1.143e+05
103.0,9.179e+03,9.582e+04,1.814e+04,1.231e+05
104.6,1.230e+04,9.040e+04,1.884e+04,1.215e+05
106.1,9.425e+03,7.967e+04,1.525e+04,1.043e+05
107.7,5.411e+03,6.964e+04,1.141e+04,8.646e+04
109.3,6.003e+03,5.974e+04,1.116e+04,7.690e+04
110.8,7.061e+03,4.241e+04,1.049e+04,5.996e+04
112.4,8.331e+03,3.176e+04,9.813e+03,4.990e+04
