freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.733e+02,4.496e+02,3.520e+01,6.582e+02
1.5,1.279e+02,2.660e+02,3.988e+01,4.338e+02
3.0,4.727e+01,3.027e+01,2.771e+01,1.053e+02
4.5,4.967e+01,2.733e+02,3.111e+01,3.541e+02
6.0,4.341e+01,1.152e+03,3.313e+01,1.229e+03
7.5,4.441e+01,2.034e+03,3.271e+01,2.111e+03
8.9,4.214e+01,3.098e+03,3.381e+01,3.174e+03
10.4,5.054e+01,4.447e+03,3.342e+01,4.531e+03
11.9,5.174e+01,6.384e+03,3.521e+01,6.471e+03
13.4,5.267e+01,9.432e+03,3.689e+01,9.521e+03
14.9,4.977e+01,1.284e+04,4.723e+01,1.294e+04
16.4,4.660e+01,1.584e+04,7.924e+01,1.597e+04
17.9,4.935e+01,1.774e+04,9.042e+01,1.788e+04
19.4,5.172e+01,1.727e+04,6.648e+01,1.739e+04
20.9,4.659e+01,2.140e+04,6.541e+01,2.151e+04
22.4,5.078e+01,3.034e+04,7.054e+01,3.047e+04
23.9,7.714e+01,4.074e+04,7.167e+01,4.089e+04
25.4,1.456e+02,5.073e+04,8.320e+01,5.096e+04
26.8,2.363e+02,6.723e+04,1.077e+02,6.757e+04
28.3,4.603e+02,9.633e+04,1.541e+02,9.694e+04
29.8,8.929e+02,1.392e+05,2.336e+02,1.403e+05
31.3,1.328e+03,1.972e+05,3.457e+02,1.989e+05
32.8,3.153e+03,3.018e+05,1.349e+03,3.064e+05
34.3,8.182e+03,4.164e+05,1.220e+04,4.368e+05
35.8,1.911e+04,5.187e+05,3.765e+04,5.755e+05
37.3,4.269e+04,6.823e+05,6.695e+04,7.919e+05
38.8,8.633e+04,8.435e+05,8.895e+04,1.019e+06
40.3,1.800e+05,1.025e+06,8.946e+04,1.295e+06
41.8,3.825e+05,1.233e+06,6.049e+04,1.676e+06
43.2,6.050e+05,1.200e+06,2.672e+04,1.832e+06
44.7,6.753e+05,9.242e+05,2.074e+04,1.620e+06
46.2,6.900e+05,6.018e+05,2.821e+04,1.320e+06
47.7,4.959e+05,3.163e+05,1.922e+04,8.314e+05
49.2,3.111e+05,1.848e+05,8.727e+03,5.046e+05
50.7,2.596e+05,1.300e+05,9.130e+03,3.987e+05
52.2,2.333e+05,9.082e+04,7.475e+03,3.316e+05
53.7,2.027e+05,7.381e+04,6.337e+03,2.829e+05
55.2,1.747e+05,6.068e+04,6.614e+03,2.420e+05
56.7,1.496e+05,4.858e+04,4.759e+03,2.029e+05
58.2,1.257e+05,3.634e+04,3.599e+03,1.656e+05
59.7,1.067e+05,2.833e+04,2.312e+03,1.374e+05
61.1,8.873e+04,2.606e+04,1.788e+03,1.166e+05
62.6,7.410e+04,2.914e+04,2.373e+03,1.056e+05
