freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.237e+02,4.708e+01,4.071e+01,3.115e+02
1.5,1.413e+02,4.178e+01,5.292e+01,2.360e+02
3.1,2.555e+01,2.545e+01,3.851e+01,8.950e+01
4.6,2.477e+02,9.335e+01,4.546e+01,3.865e+02
6.1,9.058e+02,2.970e+02,4.299e+01,1.246e+03
7.7,1.512e+03,4.856e+02,4.265e+01,2.041e+03
9.2,2.229e+03,7.112e+02,4.299e+01,2.983e+03
10.7,3.134e+03,9.857e+02,4.056e+01,4.161e+03
12.3,4.196e+03,1.312e+03,4.157e+01,5.550e+03
13.8,5.609e+03,1.746e+03,4.317e+01,7.398e+03
15.3,7.558e+03,2.325e+03,5.518e+01,9.939e+03
16.9,9.152e+03,2.800e+03,6.692e+01,1.202e+04
18.4,8.848e+03,2.706e+03,7.480e+01,1.163e+04
19.9,9.697e+03,3.011e+03,7.642e+01,1.278e+04
21.5,1.225e+04,3.807e+03,6.595e+01,1.613e+04
23.0,1.539e+04,4.845e+03,5.954e+01,2.030e+04
24.5,1.923e+04,6.038e+03,6.599e+01,2.533e+04
26.1,2.385e+04,7.378e+03,9.142e+01,3.132e+04
27.6,2.895e+04,9.007e+03,1.491e+02,3.811e+04
29.1,3.470e+04,1.082e+04,1.871e+02,4.571e+04
30.7,4.230e+04,1.297e+04,2.890e+02,5.556e+04
32.2,5.216e+04,1.588e+04,7.173e+02,6.876e+04
33.7,6.386e+04,2.048e+04,2.152e+03,8.650e+04
35.3,7.902e+04,2.517e+04,6.378e+03,1.106e+05
36.8,1.015e+05,2.641e+04,1.414e+04,1.421e+05
38.3,1.334e+05,2.745e+04,2.110e+04,1.819e+05
39.9,1.705e+05,3.132e+04,2.581e+04,2.276e+05
41.4,2.227e+05,4.129e+04,2.950e+04,2.935e+05
42.9,2.949e+05,5.821e+04,3.639e+04,3.895e+05
44.5,3.641e+05,7.408e+04,5.013e+04,4.883e+05
46.0,3.924e+05,7.036e+04,6.463e+04,5.274e+05
47.5,3.885e+05,5.935e+04,7.615e+04,5.240e+05
49.1,3.545e+05,5.261e+04,7.559e+04,4.827e+05
50.6,2.911e+05,4.185e+04,6.528e+04,3.983e+05
52.1,2.370e+05,2.896e+04,5.818e+04,3.242e+05
53.7,1.768e+05,1.866e+04,4.849e+04,2.440e+05
55.2,1.169e+05,1.105e+04,3.750e+04,1.654e+05
56.7,7.406e+04,6.249e+03,2.867e+04,1.090e+05
58.3,4.277e+04,3.138e+03,2.064e+04,6.655e+04
59.8,2.544e+04,1.918e+03,1.535e+04,4.270e+04
61.3,1.704e+04,2.173e+03,1.194e+04,3.115e+04
62.9,1.129e+04,3.163e+03,8.683e+03,2.314e+04
64.4,7.785e+03,2.842e+03,6.149e+03,1.678e+04
65.9,5.348e+03,1.889e+03,4.204e+03,1.144e+04
67.5,3.759e+03,1.271e+03,2.804e+03,7.835e+03
69.0,2.764e+03,9.726e+02,2.436e+03,6.173e+03
70.5,2.013e+03,1.198e+03,2.482e+03,5.692e+03
72.1,1.277e+03,2.176e+03,2.217e+03,5.670e+03
73.6,9.834e+02,2.846e+03,2.577e+03,6.407e+03
75.1,1.560e+03,2.119e+03,5.020e+03,8.699e+03
76.7,2.177e+03,1.150e+03,8.390e+03,1.172e+04
78.2,2.744e+03,1.006e+03,1.303e+04,1.678e+04
79.7,3.351e+03,1.424e+03,1.831e+04,2.308e+04
81.3,3.439e+03,1.765e+03,1.861e+04,2.382e+04
82.8,4.299e+03,1.610e+03,1.688e+04,2.279e+04
84.3,5.069e+03,1.713e+03,1.419e+04,2.098e+04
85.9,4.872e+03,1.807e+03,9.903e+03,1.658e+04
87.4,5.503e+03,1.991e+03,7.391e+03,1.488e+04
88.9,6.545e+03,2.305e+03,6.103e+03,1.495e+04
90.5,7.615e+03,3.215e+03,6.895e+03,1.772e+04
92.0,7.204e+03,3.940e+03,8.019e+03,1.916e+04
93.5,7.802e+03,5.451e+03,8.709e+03,2.196e+04
95.1,8.699e+03,6.898e+03,8.674e+03,2.427e+04
96.6,1.216e+04,9.697e+03,1.011e+04,3.197e+04
98.1,1.730e+04,1.410e+04,1.308e+04,4.448e+04
99.7,2.468e+04,1.785e+04,1.610e+04,5.863e+04
101.2,3.828e+04,1.928e+04,1.818e+04,7.574e+04
102.7,6.333e+04,2.206e+04,2.104e+04,1.064e+05
104.3,1.943e+05,5.098e+04,3.470e+04,2.800e+05
105.8,4.095e+05,9.683e+04,5.511e+04,5.614e+05
107.3,4.618e+05,1.023e+05,5.592e+04,6.200e+05
108.9,4.766e+05,1.007e+05,5.359e+04,6.309e+05
110.4,4.975e+05,1.004e+05,5.226e+04,6.502e+05
111.9,5.021e+05,9.630e+04,4.930e+04,6.477e+05
113.5,4.496e+05,8.135e+04,4.097e+04,5.719e+05
115.0,4.104e+05,6.857e+04,3.374e+04,5.127e+05
116.5,3.789e+05,5.913e+04,2.799e+04,4.660e+05
118.1,3.469e+05,5.144e+04,2.317e+04,4.215e+05
119.6,3.086e+05,4.411e+04,1.858e+04,3.713e+05
121.1,2.582e+05,3.653e+04,1.434e+04,3.090e+05
122.7,2.133e+05,2.940e+04,1.077e+04,2.534e+05
124.2,1.844e+05,2.353e+04,8.239e+03,2.162e+05
125.7,1.637e+05,1.883e+04,6.306e+03,1.888e+05
127.3,1.410e+05,1.620e+04,4.999e+03,1.622e+05
128.8,1.323e+05,1.395e+04,4.330e+03,1.506e+05
130.3,1.289e+05,1.106e+04,3.588e+03,1.436e+05
131.9,1.184e+05,8.820e+03,2.970e+03,1.302e+05
133.4,6.558e+04,3.803e+03,1.628e+03,7.101e+04
134.9,3.713e+04,2.057e+03,1.188e+03,4.038e+04
136.5,3.272e+04,2.421e+03,1.336e+03,3.648e+04
138.0,2.746e+04,2.776e+03,1.311e+03,3.155e+04
139.5,2.223e+04,3.398e+03,1.363e+03,2.699e+04
141.1,2.002e+04,4.735e+03,1.879e+03,2.664e+04
142.6,1.718e+04,6.194e+03,2.381e+03,2.576e+04
144.1,1.395e+04,7.759e+03,2.739e+03,2.445e+04
145.7,1.122e+04,9.026e+03,3.035e+03,2.328e+04
147.2,9.387e+03,1.009e+04,3.251e+03,2.273e+04
148.7,7.550e+03,9.360e+03,2.980e+03,1.989e+04
150.3,6.281e+03,7.968e+03,2.558e+03,1.681e+04
151.8,4.965e+03,7.893e+03,2.347e+03,1.521e+04
153.3,3.696e+03,7.924e+03,2.104e+03,1.373e+04
154.9,2.954e+03,6.303e+03,1.740e+03,1.100e+04
156.4,2.807e+03,6.262e+03,1.648e+03,1.072e+04
157.9,2.441e+03,6.519e+03,1.683e+03,1.064e+04
159.5,1.786e+03,6.158e+03,1.474e+03,9.417e+03
161.0,1.192e+03,5.593e+03,1.102e+03,7.888e+03
162.5,9.512e+02,5.684e+03,9.460e+02,7.581e+03
164.1,7.142e+02,5.126e+03,7.756e+02,6.616e+03
165.6,5.810e+02,4.565e+03,6.634e+02,5.810e+03
167.1,5.279e+02,4.158e+03,5.588e+02,5.245e+03
168.7,4.311e+02,3.566e+03,4.495e+02,4.446e+03
170.2,4.080e+02,3.392e+03,4.001e+02,4.200e+03
171.7,3.433e+02,2.435e+03,2.890e+02,3.068e+03
173.3,3.241e+02,1.620e+03,2.034e+02,2.148e+03
174.8,2.760e+02,1.383e+03,1.854e+02,1.845e+03
176.3,2.951e+02,1.564e+03,2.182e+02,2.078e+03
177.9,3.522e+02,1.834e+03,2.594e+02,2.446e+03
179.4,4.548e+02,2.193e+03,3.213e+02,2.969e+03
180.9,5.241e+02,2.560e+03,3.699e+02,3.454e+03
182.5,4.761e+02,2.636e+03,3.973e+02,3.509e+03
184.0,3.912e+02,2.598e+03,3.830e+02,3.372e+03
185.5,3.171e+02,2.293e+03,3.325e+02,2.943e+03
187.1,2.593e+02,2.267e+03,3.460e+02,2.872e+03
188.6,2.173e+02,2.404e+03,3.629e+02,2.984e+03
190.1,2.386e+02,2.348e+03,3.634e+02,2.950e+03
191.7,2.583e+02,2.020e+03,3.575e+02,2.635e+03
