freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.623e+02,4.051e+01,9.211e+00,9.120e+02
1.6,4.906e+02,3.621e+01,2.576e+01,5.526e+02
3.1,2.713e+01,1.719e+01,2.922e+01,7.354e+01
4.7,3.649e+02,1.755e+01,3.208e+01,4.145e+02
6.3,1.239e+03,2.060e+01,3.459e+01,1.294e+03
7.8,2.029e+03,2.345e+01,3.075e+01,2.083e+03
9.4,2.945e+03,2.734e+01,2.840e+01,3.001e+03
11.0,4.047e+03,2.984e+01,2.754e+01,4.104e+03
12.5,5.257e+03,3.517e+01,2.672e+01,5.319e+03
14.1,6.774e+03,3.842e+01,3.028e+01,6.842e+03
15.6,9.050e+03,4.741e+01,3.286e+01,9.130e+03
17.2,1.081e+04,5.343e+01,4.225e+01,1.091e+04
18.8,1.113e+04,5.577e+01,5.209e+01,1.124e+04
20.3,1.288e+04,5.664e+01,4.458e+01,1.298e+04
21.9,1.581e+04,6.710e+01,3.587e+01,1.591e+04
23.5,1.918e+04,8.056e+01,3.402e+01,1.929e+04
25.0,2.311e+04,1.118e+02,3.474e+01,2.325e+04
26.6,2.788e+04,1.676e+02,3.564e+01,2.808e+04
28.2,3.357e+04,2.199e+02,3.519e+01,3.382e+04
29.7,3.993e+04,2.518e+02,3.141e+01,4.022e+04
31.3,4.760e+04,2.935e+02,3.233e+01,4.793e+04
32.9,5.713e+04,3.643e+02,3.872e+01,5.753e+04
34.4,6.763e+04,4.407e+02,6.087e+01,6.813e+04
36.0,8.054e+04,6.265e+02,1.131e+02,8.128e+04
37.5,9.510e+04,9.149e+02,1.680e+02,9.619e+04
39.1,1.131e+05,1.132e+03,1.937e+02,1.144e+05
40.7,1.350e+05,1.379e+03,1.860e+02,1.365e+05
42.2,1.667e+05,1.626e+03,1.258e+02,1.684e+05
43.8,2.140e+05,1.805e+03,9.147e+01,2.159e+05
45.4,2.875e+05,2.394e+03,3.432e+02,2.902e+05
46.9,3.928e+05,4.685e+03,1.485e+03,3.990e+05
48.5,5.455e+05,1.310e+04,4.832e+03,5.634e+05
50.1,7.884e+05,3.065e+04,1.010e+04,8.292e+05
51.6,1.151e+06,4.902e+04,1.501e+04,1.215e+06
53.2,1.887e+06,7.272e+04,1.236e+04,1.972e+06
54.8,3.177e+06,1.253e+05,5.475e+03,3.308e+06
56.3,4.096e+06,1.832e+05,2.170e+03,4.281e+06
57.9,3.878e+06,1.939e+05,3.730e+03,4.075e+06
59.4,3.011e+06,1.608e+05,8.985e+03,3.181e+06
61.0,2.137e+06,1.181e+05,1.358e+04,2.269e+06
62.6,1.514e+06,8.591e+04,1.407e+04,1.614e+06
64.1,1.153e+06,6.168e+04,1.223e+04,1.227e+06
65.7,9.827e+05,4.689e+04,9.022e+03,1.039e+06
67.3,7.659e+05,3.400e+04,5.447e+03,8.053e+05
68.8,5.567e+05,2.405e+04,3.053e+03,5.838e+05
70.4,3.935e+05,1.958e+04,1.465e+03,4.146e+05
72.0,2.520e+05,1.929e+04,5.189e+02,2.719e+05
73.5,1.825e+05,2.234e+04,2.483e+02,2.051e+05
75.1,1.403e+05,2.759e+04,1.835e+02,1.681e+05
76.7,9.021e+04,2.523e+04,3.101e+02,1.157e+05
78.2,5.340e+04,1.653e+04,3.662e+02,7.030e+04
79.8,4.352e+04,6.907e+03,2.984e+02,5.073e+04
81.3,6.005e+04,4.509e+03,2.728e+02,6.483e+04
82.9,9.293e+04,6.208e+03,5.998e+02,9.974e+04
84.5,1.341e+05,1.324e+04,1.061e+03,1.484e+05
86.0,1.796e+05,2.422e+04,9.718e+02,2.048e+05
87.6,2.072e+05,2.052e+04,4.138e+02,2.281e+05
89.2,1.934e+05,7.922e+03,1.422e+02,2.014e+05
90.7,2.156e+05,8.105e+03,1.688e+02,2.239e+05
92.3,2.557e+05,6.962e+03,3.859e+02,2.630e+05
93.9,3.164e+05,5.054e+03,9.539e+02,3.224e+05
95.4,3.944e+05,8.820e+03,1.554e+03,4.048e+05
97.0,4.279e+05,1.386e+04,1.960e+03,4.437e+05
98.6,4.321e+05,1.426e+04,2.696e+03,4.490e+05
100.1,4.320e+05,1.499e+04,3.613e+03,4.506e+05
101.7,4.359e+05,9.241e+03,4.562e+03,4.497e+05
103.2,4.325e+05,5.950e+03,5.782e+03,4.442e+05
104.8,4.347e+05,3.864e+03,7.339e+03,4.459e+05
106.4,4.319e+05,2.296e+03,9.176e+03,4.434e+05
107.9,4.171e+05,1.241e+03,1.106e+04,4.294e+05
109.5,3.825e+05,7.840e+02,1.294e+04,3.962e+05
111.1,3.153e+05,7.807e+02,1.355e+04,3.297e+05
112.6,2.571e+05,1.167e+03,1.392e+04,2.721e+05
114.2,2.345e+05,1.886e+03,1.546e+04,2.518e+05
115.8,2.155e+05,2.706e+03,1.686e+04,2.351e+05
117.3,1.978e+05,3.394e+03,1.804e+04,2.192e+05
118.9,1.873e+05,3.553e+03,1.859e+04,2.095e+05
120.5,1.770e+05,3.130e+03,1.780e+04,1.979e+05
122.0,1.456e+05,2.076e+03,1.435e+04,1.621e+05
