freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.455e+02,5.104e+01,3.635e+01,3.329e+02
1.5,2.831e+02,2.383e+02,1.621e+02,6.835e+02
3.0,1.915e+02,2.830e+02,1.769e+02,6.513e+02
4.5,4.453e+02,2.946e+02,1.783e+02,9.182e+02
6.0,1.327e+03,2.769e+02,1.795e+02,1.784e+03
7.5,2.117e+03,2.865e+02,1.802e+02,2.583e+03
9.0,2.967e+03,2.921e+02,1.860e+02,3.445e+03
10.5,3.873e+03,3.155e+02,1.914e+02,4.380e+03
12.0,5.035e+03,3.201e+02,1.942e+02,5.549e+03
13.5,6.544e+03,3.087e+02,1.888e+02,7.041e+03
15.0,8.337e+03,2.976e+02,1.878e+02,8.823e+03
16.5,9.820e+03,3.176e+02,1.826e+02,1.032e+04
18.0,1.061e+04,3.065e+02,1.799e+02,1.109e+04
19.5,1.289e+04,2.912e+02,1.982e+02,1.338e+04
21.0,1.588e+04,2.976e+02,1.956e+02,1.637e+04
22.5,1.924e+04,2.865e+02,1.851e+02,1.971e+04
24.0,2.266e+04,2.732e+02,1.827e+02,2.312e+04
25.5,2.491e+04,2.903e+02,1.967e+02,2.540e+04
27.0,2.870e+04,2.680e+02,2.272e+02,2.919e+04
28.5,3.397e+04,2.715e+02,2.219e+02,3.446e+04
30.0,3.977e+04,2.856e+02,2.221e+02,4.027e+04
31.5,4.715e+04,2.796e+02,2.175e+02,4.765e+04
33.0,5.606e+04,3.061e+02,2.176e+02,5.658e+04
34.5,6.692e+04,3.006e+02,2.166e+02,6.744e+04
36.0,7.992e+04,3.109e+02,2.091e+02,8.044e+04
37.5,9.655e+04,4.369e+02,2.127e+02,9.720e+04
39.0,1.141e+05,6.701e+02,2.248e+02,1.150e+05
40.5,1.264e+05,8.303e+02,2.687e+02,1.275e+05
42.0,1.391e+05,8.766e+02,3.704e+02,1.404e+05
43.5,1.719e+05,1.184e+03,6.578e+02,1.737e+05
45.0,2.172e+05,1.754e+03,1.193e+03,2.201e+05
46.5,2.961e+05,4.058e+03,4.588e+03,3.047e+05
48.0,4.055e+05,9.183e+03,1.603e+04,4.307e+05
49.5,4.678e+05,1.234e+04,3.305e+04,5.132e+05
51.0,4.259e+05,1.201e+04,4.101e+04,4.789e+05
52.5,3.403e+05,1.095e+04,3.424e+04,3.855e+05
54.0,2.718e+05,9.941e+03,2.407e+04,3.058e+05
55.5,2.343e+05,8.209e+03,1.741e+04,2.599e+05
57.0,2.177e+05,5.360e+03,1.092e+04,2.340e+05
58.5,2.057e+05,3.362e+03,6.718e+03,2.158e+05
60.0,1.903e+05,2.070e+03,5.050e+03,1.974e+05
61.5,1.710e+05,1.373e+03,4.086e+03,1.764e+05
63.0,1.487e+05,1.136e+03,3.198e+03,1.530e+05
64.5,1.245e+05,1.268e+03,2.775e+03,1.286e+05
66.0,1.049e+05,2.161e+03,3.264e+03,1.103e+05
67.5,8.813e+04,3.812e+03,4.529e+03,9.647e+04
69.0,6.983e+04,4.796e+03,5.297e+03,7.993e+04
70.5,5.002e+04,4.925e+03,5.027e+03,5.997e+04
72.0,3.615e+04,4.411e+03,4.127e+03,4.469e+04
73.5,3.223e+04,2.868e+03,2.570e+03,3.767e+04
75.0,3.094e+04,1.490e+03,2.819e+03,3.525e+04
76.5,3.815e+04,1.301e+03,3.528e+03,4.298e+04
78.0,4.701e+04,1.483e+03,2.841e+03,5.133e+04
79.5,4.672e+04,1.572e+03,2.301e+03,5.059e+04
81.0,6.347e+04,1.343e+03,2.059e+03,6.688e+04
82.5,8.482e+04,1.294e+03,1.994e+03,8.811e+04
84.1,7.966e+04,1.401e+03,1.849e+03,8.291e+04
85.6,7.672e+04,1.352e+03,1.767e+03,7.984e+04
87.1,7.400e+04,1.162e+03,1.969e+03,7.713e+04
88.6,9.085e+04,7.483e+02,3.111e+03,9.470e+04
