freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.884e+02,1.699e+01,1.100e+01,7.164e+02
1.5,3.975e+02,2.719e+01,3.563e+01,4.603e+02
3.1,2.769e+01,2.408e+01,3.822e+01,9.000e+01
4.6,3.232e+02,2.654e+01,3.607e+01,3.858e+02
6.2,1.179e+03,2.679e+01,3.608e+01,1.242e+03
7.7,1.971e+03,2.926e+01,3.755e+01,2.038e+03
9.3,2.869e+03,3.001e+01,3.999e+01,2.939e+03
10.8,4.004e+03,3.312e+01,3.988e+01,4.077e+03
12.3,5.259e+03,3.368e+01,3.799e+01,5.331e+03
13.9,6.839e+03,4.248e+01,3.792e+01,6.920e+03
15.4,9.226e+03,4.988e+01,4.184e+01,9.318e+03
17.0,1.060e+04,5.273e+01,4.573e+01,1.070e+04
18.5,1.050e+04,6.104e+01,4.761e+01,1.060e+04
20.1,1.267e+04,6.802e+01,4.544e+01,1.278e+04
21.6,1.567e+04,7.377e+01,3.863e+01,1.579e+04
23.1,1.897e+04,7.372e+01,3.704e+01,1.908e+04
24.7,2.275e+04,8.325e+01,3.775e+01,2.287e+04
26.2,2.720e+04,9.867e+01,3.920e+01,2.734e+04
27.8,3.278e+04,1.229e+02,4.210e+01,3.294e+04
29.3,3.911e+04,1.485e+02,4.580e+01,3.930e+04
30.9,4.650e+04,1.837e+02,5.492e+01,4.674e+04
32.4,5.526e+04,3.096e+02,8.568e+01,5.566e+04
34.0,6.524e+04,4.947e+02,1.116e+02,6.585e+04
35.5,7.854e+04,6.267e+02,1.162e+02,7.929e+04
37.0,9.433e+04,8.466e+02,1.797e+02,9.536e+04
38.6,1.115e+05,1.242e+03,3.252e+02,1.131e+05
40.1,1.308e+05,1.675e+03,4.102e+02,1.329e+05
41.7,1.571e+05,2.425e+03,5.423e+02,1.601e+05
43.2,1.936e+05,3.547e+03,7.898e+02,1.979e+05
44.8,2.452e+05,4.863e+03,1.073e+03,2.511e+05
46.3,3.283e+05,7.721e+03,1.830e+03,3.379e+05
47.8,4.424e+05,1.310e+04,4.168e+03,4.597e+05
49.4,6.164e+05,1.443e+04,5.117e+03,6.360e+05
50.9,9.555e+05,1.482e+04,4.562e+03,9.748e+05
52.5,1.563e+06,2.481e+04,4.855e+03,1.593e+06
54.0,2.500e+06,5.222e+04,5.229e+03,2.557e+06
55.6,3.236e+06,7.680e+04,9.377e+03,3.322e+06
57.1,3.230e+06,6.676e+04,1.606e+04,3.312e+06
58.6,2.694e+06,4.412e+04,1.763e+04,2.756e+06
60.2,2.009e+06,3.248e+04,1.436e+04,2.056e+06
61.7,1.479e+06,2.564e+04,9.833e+03,1.515e+06
63.3,1.111e+06,1.741e+04,6.239e+03,1.135e+06
64.8,8.207e+05,8.547e+03,3.480e+03,8.328e+05
66.4,5.613e+05,3.366e+03,1.757e+03,5.664e+05
67.9,3.838e+05,2.469e+03,1.289e+03,3.876e+05
69.4,2.877e+05,2.470e+03,1.243e+03,2.915e+05
71.0,2.035e+05,2.820e+03,1.059e+03,2.073e+05
72.5,1.389e+05,5.038e+03,1.131e+03,1.450e+05
74.1,1.129e+05,7.959e+03,1.218e+03,1.221e+05
75.6,8.598e+04,6.547e+03,6.719e+02,9.320e+04
77.2,6.103e+04,3.339e+03,2.079e+02,6.457e+04
