freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.170e+02,2.008e+01,3.121e+01,5.683e+02
1.6,2.987e+02,2.398e+01,4.225e+01,3.649e+02
3.1,2.965e+01,1.826e+01,3.168e+01,7.960e+01
4.7,3.627e+02,1.856e+01,3.462e+01,4.158e+02
6.2,1.241e+03,1.831e+01,3.971e+01,1.299e+03
7.8,2.046e+03,1.894e+01,4.338e+01,2.109e+03
9.4,2.924e+03,2.044e+01,4.822e+01,2.992e+03
10.9,3.964e+03,1.957e+01,4.892e+01,4.033e+03
12.5,5.227e+03,2.063e+01,5.440e+01,5.302e+03
14.1,6.831e+03,2.082e+01,6.051e+01,6.912e+03
15.6,9.033e+03,2.017e+01,6.703e+01,9.120e+03
17.2,1.166e+04,2.351e+01,6.331e+01,1.175e+04
18.7,1.163e+04,2.284e+01,6.939e+01,1.172e+04
20.3,1.162e+04,2.139e+01,7.536e+01,1.172e+04
21.9,1.412e+04,2.217e+01,8.715e+01,1.423e+04
23.4,1.718e+04,2.534e+01,1.016e+02,1.731e+04
25.0,2.080e+04,2.583e+01,1.194e+02,2.094e+04
26.5,2.491e+04,2.537e+01,1.300e+02,2.506e+04
28.1,2.965e+04,2.708e+01,1.503e+02,2.983e+04
29.7,3.490e+04,2.856e+01,1.790e+02,3.511e+04
31.2,4.087e+04,2.831e+01,2.127e+02,4.112e+04
32.8,4.822e+04,3.444e+01,2.611e+02,4.851e+04
34.4,5.703e+04,4.412e+01,3.206e+02,5.739e+04
35.9,6.718e+04,7.035e+01,2.796e+02,6.753e+04
37.5,7.887e+04,9.539e+01,1.695e+02,7.914e+04
39.0,9.316e+04,9.583e+01,1.404e+02,9.340e+04
40.6,1.101e+05,7.448e+01,1.588e+02,1.104e+05
42.2,1.392e+05,4.395e+01,1.435e+02,1.394e+05
43.7,1.780e+05,3.495e+01,1.193e+02,1.782e+05
45.3,2.220e+05,5.826e+01,1.274e+02,2.222e+05
46.9,2.765e+05,1.182e+02,2.275e+02,2.768e+05
48.4,3.434e+05,2.959e+02,1.085e+03,3.448e+05
50.0,4.638e+05,1.305e+03,7.116e+03,4.722e+05
51.5,6.402e+05,4.467e+03,3.844e+04,6.832e+05
53.1,8.794e+05,6.889e+03,8.804e+04,9.744e+05
54.7,1.283e+06,5.325e+03,1.122e+05,1.400e+06
56.2,1.801e+06,2.786e+03,1.092e+05,1.913e+06
57.8,2.324e+06,1.584e+03,1.055e+05,2.431e+06
59.3,2.317e+06,1.546e+03,1.085e+05,2.427e+06
60.9,1.790e+06,2.006e+03,9.061e+04,1.883e+06
62.5,1.236e+06,3.872e+03,5.836e+04,1.298e+06
64.0,8.262e+05,6.858e+03,3.107e+04,8.641e+05
65.6,5.212e+05,8.885e+03,1.267e+04,5.428e+05
67.2,3.150e+05,1.037e+04,4.592e+03,3.300e+05
68.7,1.887e+05,1.166e+04,1.694e+03,2.020e+05
70.3,1.189e+05,1.292e+04,1.100e+03,1.329e+05
71.8,7.034e+04,1.287e+04,1.865e+03,8.507e+04
73.4,5.069e+04,2.182e+04,5.680e+03,7.819e+04
75.0,4.662e+04,3.882e+04,1.308e+04,9.852e+04
76.5,6.438e+04,5.581e+04,2.279e+04,1.430e+05
78.1,1.139e+05,6.263e+04,3.319e+04,2.098e+05
79.6,1.494e+05,5.096e+04,3.117e+04,2.315e+05
81.2,2.304e+05,3.754e+04,2.421e+04,2.922e+05
82.8,3.813e+05,2.135e+04,2.398e+04,4.266e+05
84.3,4.284e+05,1.056e+04,2.149e+04,4.604e+05
85.9,3.567e+05,1.531e+04,1.229e+04,3.843e+05
87.5,3.175e+05,3.619e+04,8.843e+03,3.625e+05
89.0,2.317e+05,5.496e+04,1.384e+04,3.005e+05
90.6,1.888e+05,7.543e+04,2.557e+04,2.898e+05
92.1,1.831e+05,9.790e+04,4.448e+04,3.255e+05
93.7,1.802e+05,8.371e+04,4.977e+04,3.137e+05
95.3,1.757e+05,5.604e+04,4.361e+04,2.754e+05
96.8,1.673e+05,2.963e+04,3.315e+04,2.301e+05
98.4,1.463e+05,1.336e+04,2.316e+04,1.828e+05
99.9,1.298e+05,9.679e+03,1.823e+04,1.577e+05
101.5,1.189e+05,1.385e+04,1.706e+04,1.498e+05
103.1,1.062e+05,2.026e+04,1.742e+04,1.439e+05
104.6,9.905e+04,2.107e+04,1.764e+04,1.378e+05
106.2,9.736e+04,2.034e+04,1.724e+04,1.349e+05
107.8,9.672e+04,1.962e+04,1.648e+04,1.328e+05
109.3,9.040e+04,1.537e+04,1.449e+04,1.203e+05
110.9,8.222e+04,1.131e+04,1.150e+04,1.050e+05
112.4,7.574e+04,7.865e+03,8.208e+03,9.182e+04
114.0,6.831e+04,5.604e+03,6.578e+03,8.049e+04
115.6,6.380e+04,6.644e+03,6.584e+03,7.702e+04
117.1,6.101e+04,5.892e+03,6.622e+03,7.353e+04
118.7,6.054e+04,4.236e+03,6.705e+03,7.148e+04
120.3,6.258e+04,4.029e+03,6.951e+03,7.356e+04
121.8,6.484e+04,3.704e+03,7.025e+03,7.557e+04
123.4,6.345e+04,3.100e+03,5.982e+03,7.253e+04
124.9,5.825e+04,3.296e+03,5.318e+03,6.686e+04
126.5,5.913e+04,4.547e+03,6.631e+03,7.030e+04
128.1,6.457e+04,5.453e+03,8.142e+03,7.817e+04
129.6,7.933e+04,8.224e+03,1.266e+04,1.002e+05
131.2,1.000e+05,1.305e+04,1.923e+04,1.323e+05
132.7,6.695e+04,8.004e+03,1.201e+04,8.696e+04
134.3,1.016e+04,1.974e+03,1.691e+03,1.383e+04
135.9,5.212e+03,1.307e+03,5.841e+02,7.104e+03
137.4,6.936e+03,9.613e+02,6.197e+02,8.517e+03
139.0,9.045e+03,8.900e+02,7.930e+02,1.073e+04
140.6,1.097e+04,1.083e+03,8.283e+02,1.288e+04
142.1,1.167e+04,9.900e+02,5.824e+02,1.324e+04
143.7,1.266e+04,1.280e+03,4.867e+02,1.443e+04
145.2,1.416e+04,1.985e+03,6.555e+02,1.680e+04
146.8,2.027e+04,3.171e+03,1.064e+03,2.451e+04
148.4,2.180e+04,4.054e+03,1.483e+03,2.734e+04
149.9,1.961e+04,4.355e+03,1.841e+03,2.581e+04
151.5,1.708e+04,4.552e+03,2.289e+03,2.392e+04
153.0,1.600e+04,5.620e+03,3.087e+03,2.471e+04
154.6,1.623e+04,8.477e+03,4.880e+03,2.959e+04
156.2,2.187e+04,1.721e+04,9.833e+03,4.891e+04
157.7,2.768e+04,2.404e+04,1.258e+04,6.431e+04
159.3,1.932e+04,2.251e+04,1.002e+04,5.185e+04
